type	name	kegg_pathwayid	kegg_pathwayname	kegg_category
gene	HK3	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	HK1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	HK2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	HKDC1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	GCK	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	GPI	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PFKM	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PFKP	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PFKL	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	FBP1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	FBP2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDOC	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDOA	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDOB	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	TPI1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	GAPDH	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	GAPDHS	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PGK2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PGK1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PGAM1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PGAM2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PGAM4	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ENO3	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ENO2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ENO1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ENO4	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PKM	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PKLR	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PDHA2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PDHA1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PDHB	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	DLAT	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	DLD	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	LDHAL6A	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	LDHAL6B	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	LDHA	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	LDHB	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	LDHC	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ADH1A	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ADH1B	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ADH1C	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ADH7	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ADH4	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ADH5	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ADH6	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	AKR1A1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDH2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDH3A2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDH1B1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDH7A1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDH9A1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDH3B1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDH3B2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ALDH3A1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ACSS1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ACSS2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	GALM	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PGM1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PGM2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	G6PC1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	G6PC2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	G6PC3	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	ADPGK	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	BPGM	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	MINPP1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PCK1	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	PCK2	hsa00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
gene	CS	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	ACLY	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	ACO2	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	ACO1	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	IDH1	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	IDH2	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	IDH3B	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	IDH3G	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	IDH3A	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	OGDHL	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	OGDH	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	DLST	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	DLD	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	SUCLG1	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	SUCLG2	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	SUCLA2	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	SDHA	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	SDHB	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	SDHC	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	SDHD	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	FH	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	MDH1	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	MDH2	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	PC	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	PCK1	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	PCK2	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	PDHA2	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	PDHA1	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	PDHB	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	DLAT	hsa00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism
gene	GPI	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	G6PD	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PGLS	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	H6PD	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PGD	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	RPE	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	RPEL1	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	TKT	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	TKTL2	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	TKTL1	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	TALDO1	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	RPIA	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	DERA	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	RBKS	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PGM1	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PGM2	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PRPS1L1	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PRPS2	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PRPS1	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	RGN	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	IDNK	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	GLYCTK	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	ALDOC	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	ALDOA	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	ALDOB	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	FBP1	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	FBP2	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PFKM	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PFKP	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	PFKL	hsa00030	Pentose phosphate pathway	Carbohydrate metabolism
gene	GUSB	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	KL	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2A1	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2A3	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2B17	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2B11	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2B28	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A6	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A4	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A1	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A3	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2B10	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A9	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2B7	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A10	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A8	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A5	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2B15	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT1A7	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2B4	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGT2A2	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGDH	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	UGP2	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	AKR1A1	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	CRYL1	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	RPE	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	RPEL1	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	XYLB	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	AKR1B1	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	AKR1B10	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	DCXR	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	SORD	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	DHDH	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
gene	FGGY	hsa00040	Pentose and glucuronate interconversions	Carbohydrate metabolism
