type	name	kegg_pathwayid	kegg_pathwayname	kegg_category
metabolite	C00007	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00011	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00014	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00022	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00024	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00025	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00026	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00027	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00033	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00036	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00037	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00042	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00048	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00058	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00064	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00065	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00091	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00100	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00111	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00136	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00149	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00158	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00160	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00168	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00197	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00209	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00258	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00266	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00311	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00313	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00332	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00417	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00552	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00631	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00683	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00798	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00877	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00888	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00898	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00975	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C00988	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C01127	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C01146	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C01182	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C01213	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C01380	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C01732	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C01989	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C01990	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C02123	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C02405	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C03217	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C03459	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C03548	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C03561	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C03618	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C04348	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C06027	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C06028	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C06049	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C18026	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C18324	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C20238	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
metabolite	C22337	hsa00630	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
