Pathway	DA_score	Increase_members_num	Decrease_members_num	Measured_members_num	Increase_member_result	Decrease_member_result	Measure_member_result	KEGG_pathwayid	Pathway Category
Neomycin, kanamycin and gentamicin biosynthesis	-0.571428571428571	0	4	7		C00025;C00029;C00043;C00092	HK3;HK1;HK2;C00025;C00029;C00043;C00092	hsa00524	Biosynthesis of other secondary metabolites
Phenylalanine, tyrosine and tryptophan biosynthesis	-0.4	0	4	10		GOT2;C00078;C00079;C00082	GOT1;GOT2;TAT;IL4I1;C00074;C00078;C00079;C00082;C00108;C00279	hsa00400	Amino acid metabolism
Biotin metabolism	-0.4	1	3	5	BTD	HLCS;C00047;C00120	OXSM;HLCS;BTD;C00047;C00120	hsa00780	Metabolism of cofactors and vitamins
Oxidative phosphorylation	-0.391666666666667	6	53	120	NDUFS4;COX4I2;COX7A1;COX15;ATP6V1G2;ATP6V0A1	NDUFS2;NDUFS5;NDUFS6;NDUFV3;NDUFA1;NDUFA6;NDUFA8;NDUFA9;NDUFAB1;NDUFA12;NDUFB2;NDUFB3;NDUFB4;NDUFB9;NDUFB11;NDUFC1;SDHB;SDHC;UQCRFS1;CYC1;UQCRC1;UQCRH;UQCRHL;UQCRB;UQCR10;COX10;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX7A2L;COX7B;CYCS;ATP5F1C;ATP5F1E;ATP5PO;ATP5MC1;ATP5MC3;ATP5PD;ATP5MF;ATP5MG;ATP5PF;ATP6V1C2;ATP6V1E2;ATP6V1F;ATP6V0A4;PPA1;C00004;C00008;C00013;C00042;C00122	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NDUFV3;NDUFA1;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFA10;NDUFAB1;NDUFA11;NDUFA12;NDUFA13;NDUFB1;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB7;NDUFB8;NDUFB9;NDUFB10;NDUFB11;NDUFC1;NDUFC2;SDHA;SDHB;SDHC;SDHD;UQCRFS1;CYC1;UQCRC1;UQCRC2;UQCRH;UQCRHL;UQCRB;UQCRQ;UQCR10;UQCR11;COX10;COX4I2;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7A1;COX7A2;COX7A2L;COX7B;COX7C;COX8A;COX11;COX15;COX17;CYCS;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5PO;ATP5PB;ATP5MC1;ATP5MC2;ATP5MC3;ATP5PD;ATP5ME;ATP5MF;ATP5MG;ATP5PF;ATP6V1A;ATP6V1B1;ATP6V1B2;ATP6V1C2;ATP6V1C1;ATP6V1D;ATP6V1E2;ATP6V1E1;ATP6V1F;ATP6V1G1;ATP6V1G2;ATP6V1H;TCIRG1;ATP6V0A2;ATP6V0A4;ATP6V0A1;ATP6V0C;ATP6V0B;ATP6V0D1;ATP6V0D2;ATP6V0E1;ATP6V0E2;ATP6AP1;PPA2;PPA1;LHPP;C00002;C00003;C00004;C00008;C00013;C00042;C00122	hsa00190	Energy metabolism
D-Amino acid metabolism	-0.391304347826087	4	13	23	GLS2;DGLUCY;C00022;C00064	GLS;C00025;C00041;C00047;C00062;C00065;C00073;C00077;C00079;C00097;C00148;C00188;C00624	GLS2;GLS;DGLUCY;DDO;SRR;C00022;C00025;C00026;C00037;C00041;C00047;C00049;C00062;C00064;C00065;C00073;C00077;C00079;C00097;C00148;C00188;C00624;C01180	hsa00470	Metabolism of other amino acids
Cysteine and methionine metabolism	-0.35	7	28	60	KYAT3;MRI1;AHCYL2;AHCYL1;BCAT2;CDO1;C00022	CBS;AMD1;SRM;SMS;ENOPH1;DNMT1;DNMT3A;DNMT3B;AHCY;GCLM;GSS;GOT2;LDHA;LDHB;MDH1;MDH2;PHGDH;PSAT1;C00019;C00021;C00041;C00051;C00065;C00073;C00097;C00170;C00197;C02291	CTH;KYAT3;KYAT1;CBS;BHMT;BHMT2;MTR;MAT2B;MAT1A;MAT2A;AMD1;SRM;SMS;MTAP;LACC1;MRI1;APIP;ENOPH1;ADI1;TAT;IL4I1;DNMT1;DNMT3A;DNMT3B;AHCYL2;AHCYL1;AHCY;BCAT2;BCAT1;GCLC;GCLM;GSS;CDO1;GOT1;GOT2;MPST;TST;LDHAL6B;LDHA;LDHB;MDH1;MDH2;SDS;SDSL;PHGDH;PSAT1;C00019;C00021;C00022;C00041;C00049;C00051;C00065;C00073;C00097;C00170;C00197;C00506;C01180;C02291	hsa00270	Amino acid metabolism
Phosphonate and phosphinate metabolism	-0.333333333333333	2	6	12	CEPT1;C00022	PCYT2;SELENOI;PCYT1B;C00117;C05673;C05674	PCYT2;SELENOI;CEPT1;PCYT1B;PCYT1A;CHPT1;C00022;C00037;C00074;C00117;C05673;C05674	hsa00440	Metabolism of other amino acids
Sulfur metabolism	-0.285714285714286	1	5	14	SUOX	PAPSS1;C00042;C00065;C00097;C00245	PAPSS2;PAPSS1;BPNT1;SUOX;SQOR;ETHE1;MPST;TST;SELENBP1;C00042;C00065;C00097;C00245;C00320	hsa00920	Energy metabolism
Steroid biosynthesis	-0.263157894736842	2	7	19	SC5D;LIPA	SQLE;LSS;LBR;NSDHL;EBP;DHCR7;SOAT1	FDFT1;SQLE;LSS;CYP51A1;TM7SF2;LBR;MSMO1;NSDHL;HSD17B7;EBP;DHCR24;SC5D;DHCR7;LIPA;CEL;SOAT1;CYP2R1;CYP27B1;CYP24A1	hsa00100	Lipid metabolism
Caffeine metabolism	-0.25	1	2	4	NAT1	C00385;C01762	NAT1;XDH;C00385;C01762	hsa00232	Biosynthesis of other secondary metabolites
Pyrimidine metabolism	-0.243243243243243	10	28	74	ENTPD3;ENTPD1;ENTPD4;ENTPD5;ENPP1;ASMTL;TK2;DPYD;DPYS;C00064	CAD;UMPS;NME2;NME1;ENTPD6;CTPS1;UCK2;NT5C3A;RRM1;RRM2;HDDC2;DTYMK;TK1;TYMS;C00015;C00055;C00105;C00106;C00112;C00178;C00295;C00365;C00380;C00429;C00438;C00881;C01346;C02642	CAD;DHODH;UMPS;CMPK1;CMPK2;NME6;NME7;NME2;NME4;NME1;NME3;NME1-NME2;AK9;ENTPD3;ENTPD8;ENTPD1;CANT1;ENTPD4;ENTPD5;ENTPD6;ENPP1;ENPP3;ASMTL;NUDT2;CTPS1;CTPS2;UCK1;UCK2;UCKL1;NT5C2;NT5C1B;NT5C;NT5M;NT5E;UPP1;NT5C3A;NT5C3B;CDA;RRM1;RRM2B;RRM2;DCTPP1;HDDC2;DCK;DCTD;DTYMK;DUT;TYMP;TK2;TK1;TYMS;DPYD;DPYS;UPB1;C00015;C00055;C00063;C00064;C00075;C00105;C00106;C00112;C00178;C00214;C00295;C00299;C00365;C00380;C00429;C00438;C00475;C00881;C01346;C02642	hsa00240	Nucleotide metabolism
Glycosphingolipid biosynthesis - lacto and neolacto series	-0.24	2	8	25	B3GALT2;A4GALT	B3GNT5;FUT3;B4GALT2;B4GALT3;FUT9;ST3GAL6;B3GNT4;GCNT2	B3GNT5;B3GALT1;B3GALT2;B3GALT5;FUT1;FUT2;FUT3;ST3GAL3;ST3GAL4;ABO;B4GALT1;B4GALT2;B4GALT3;B4GALT4;FUT9;FUT4;FUT7;ST3GAL6;ST8SIA1;A4GALT;B3GALNT1;B3GNT2;B3GNT3;B3GNT4;GCNT2	hsa00601	Glycan biosynthesis and metabolism
Pentose phosphate pathway	-0.235294117647059	5	13	34	H6PD;RBKS;IDNK;FBP1;C00022	GPI;PGD;RPE;TKT;TALDO1;RPIA;PRPS2;C00117;C00197;C00345;C00673;C05378;C05382	GPI;G6PD;PGLS;H6PD;PGD;RPE;TKT;TALDO1;RPIA;DERA;RBKS;PGM1;PGM2;PRPS2;PRPS1;RGN;IDNK;GLYCTK;ALDOC;ALDOA;ALDOB;FBP1;PFKM;PFKP;PFKL;C00022;C00117;C00197;C00258;C00279;C00345;C00673;C05378;C05382	hsa00030	Carbohydrate metabolism
Terpenoid backbone biosynthesis	-0.227272727272727	3	8	22	FNTB;PCYOX1;C00022	ACAT2;HMGCS1;MVD;FDPS;PDSS1;NUS1;FNTA;ZMPSTE24	ACAT2;ACAT1;HMGCS1;HMGCR;MVK;PMVK;MVD;IDI1;FDPS;GGPS1;PDSS1;PDSS2;DHDDS;NUS1;FNTA;FNTB;CHURC1-FNTB;RCE1;ZMPSTE24;ICMT;PCYOX1;C00022	hsa00900	Metabolism of terpenoids and polyketides
Mannose type O-glycan biosynthesis	-0.217391304347826	2	7	23	B4GAT1;LARGE1	B4GALT2;B4GALT3;B3GAT1;FUT9;MGAT5B;B3GALNT2;LARGE2	POMT1;POMT2;POMGNT1;B4GALT1;B4GALT2;B4GALT3;ST3GAL3;B3GAT1;B3GAT2;CHST10;FUT9;FUT4;MGAT5B;POMGNT2;B3GALNT2;POMK;FKTN;FKRP;RXYLT1;B4GAT1;LARGE1;LARGE2;C00063	hsa00515	Glycan biosynthesis and metabolism
Citrate cycle (TCA cycle)	-0.216216216216216	5	13	37	ACO1;DLST;SUCLG2;SUCLA2;C00022	ACLY;IDH2;OGDHL;SDHB;SDHC;FH;MDH1;MDH2;PDHA1;C00042;C00122;C00149;C00158	CS;ACLY;ACO2;ACO1;IDH1;IDH2;IDH3B;IDH3G;IDH3A;OGDHL;OGDH;DLST;DLD;SUCLG1;SUCLG2;SUCLA2;SDHA;SDHB;SDHC;SDHD;FH;MDH1;MDH2;PC;PCK1;PCK2;PDHA1;PDHB;DLAT;C00022;C00026;C00042;C00074;C00122;C00149;C00158;C00417	hsa00020	Carbohydrate metabolism
Glycosaminoglycan biosynthesis - keratan sulfate	-0.214285714285714	1	4	14	FUT8	B4GALT2;B4GALT3;CHST6;B3GNT7	FUT8;B4GALT1;B4GALT2;B4GALT3;B3GNT2;CHST6;B4GALT4;B3GNT7;CHST1;ST3GAL3;CHST2;CHST4;ST3GAL1;ST3GAL2	hsa00533	Glycan biosynthesis and metabolism
Glycine, serine and threonine metabolism	-0.212765957446809	7	17	47	MAOA;AOC3;AMT;GAMT;DMGDH;SARDH;C00022	SHMT2;PGAM1;PHGDH;PSAT1;PSPH;GLDC;GCSH;CBS;C00065;C00078;C00097;C00114;C00188;C00197;C00300;C00719;C02291	SHMT2;SHMT1;GRHPR;GLYCTK;PGAM1;BPGM;PHGDH;PSAT1;PSPH;GCAT;ALAS1;MAOB;MAOA;AOC3;AOC2;GLDC;AMT;DLD;GCSH;GATM;GAMT;CHDH;ALDH7A1;BHMT;DMGDH;PIPOX;SARDH;GNMT;CBS;CTH;SDS;SDSL;SRR;C00022;C00037;C00049;C00065;C00078;C00097;C00114;C00188;C00197;C00258;C00300;C00719;C01026;C02291	hsa00260	Amino acid metabolism
Arginine biosynthesis	-0.206896551724138	6	12	29	NOS3;GLS2;GLUL;GLUD1;CPS1;C00064	ASS1;ARG2;GLS;GOT2;GPT2;C00025;C00062;C00077;C00122;C00624;C01250;C03406	ASS1;ASL;ARG2;NOS2;NOS3;GLS2;GLS;GLUL;GLUD2;GLUD1;CPS1;GOT1;GOT2;GPT2;GPT;NAGS;ACY1;ABHD14A-ACY1;C00025;C00026;C00049;C00062;C00064;C00077;C00122;C00437;C00624;C01250;C03406	hsa00220	Amino acid metabolism
One carbon pool by folate	-0.2	4	8	20	DHFR2;AMT;ALDH1L1;MTHFR	DHFR;MTHFD1L;MTHFD1;MTHFD2;SHMT2;GART;ATIC;TYMS	DHFR;DHFR2;MTHFD1L;MTHFD1;MTHFD2;MTHFD2L;SHMT2;SHMT1;GART;ATIC;FTCD;MTFMT;AMT;MTR;TYMS;ALDH1L1;ALDH1L2;MTHFR;MTHFS;ST20-MTHFS	hsa00670	Metabolism of cofactors and vitamins
Amino sugar and nucleotide sugar metabolism	-0.181818181818182	6	16	55	GNPDA2;CYB5R3;CYB5RL;UGDH;MPI;C00267	UAP1;NANS;NANP;CMAS;GALE;GPI;GMDS;C00029;C00043;C00096;C00167;C00190;C00352;C02985;C05385;C06241	CHIT1;HEXA;HEXB;NAGK;AMDHD2;GNPDA1;GNPDA2;HK3;HK1;HK2;GFPT2;GFPT1;GNPNAT1;PGM3;GALK2;UAP1;UAP1L1;GNE;RENBP;NANS;NANP;NPL;CMAS;CYB5R1;CYB5R3;CYB5R2;CYB5RL;CYB5R4;UXS1;PGM1;PGM2;UGP2;UGDH;GALK1;GALT;GALE;GPI;MPI;PMM2;PMM1;GMPPB;GMPPA;GMDS;FPGT;C00029;C00043;C00096;C00167;C00190;C00267;C00352;C01019;C02985;C05385;C06241	hsa00520	Carbohydrate metabolism
Vitamin B6 metabolism	-0.181818181818182	2	4	11	AOX1;C00064	PDXK;PSAT1;C00117;C00250	PNPO;PDXK;PDXP;PHOSPHO2;AOX1;PSAT1;C00064;C00117;C00250;C00279;C00847	hsa00750	Metabolism of cofactors and vitamins
Glyoxylate and dicarboxylate metabolism	-0.179487179487179	7	14	39	ACO1;PCCA;CAT;GLUL;AMT;C00022;C00064	MDH1;MDH2;ACAT2;PGP;SHMT2;GLDC;GCSH;C00025;C00042;C00065;C00111;C00149;C00158;C00197	ACSS1;ACSS2;MDH1;MDH2;CS;ACO2;ACO1;ACAT2;ACAT1;MCEE;PCCA;PCCB;CAT;GRHPR;PGP;GLUL;SHMT2;SHMT1;GLDC;AMT;DLD;GCSH;HYI;GLYCTK;HOGA1;AFMID;C00022;C00025;C00026;C00037;C00042;C00064;C00065;C00111;C00149;C00158;C00197;C00258;C00417	hsa00630	Carbohydrate metabolism
Pyruvate metabolism	-0.177777777777778	7	15	45	ADH1B;ADH1C;ACACB;ALDH3A2;LDHD;ME3;C00022	PDHA1;PKM;ACACA;LDHA;LDHB;ME2;ME1;MDH1;MDH2;FH;ACAT2;C00042;C00122;C00149;C00186	ACSS1;ACSS2;PDHA1;PDHB;DLAT;DLD;ADH1B;ADH1C;ADH6;ADH5;AKR1A1;PKM;ACACA;ACACB;ACYP2;ACYP1;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;LDHAL6B;LDHA;LDHB;LDHD;GLO1;HAGH;GRHPR;ME2;ME3;ME1;PC;MDH1;MDH2;FH;PCK1;PCK2;ACAT2;ACAT1;C00022;C00042;C00074;C00122;C00149;C00186	hsa00620	Carbohydrate metabolism
Alanine, aspartate and glutamate metabolism	-0.177777777777778	9	17	45	ASPA;ABAT;GLUD1;ALDH4A1;GLUL;GLS2;CPS1;C00022;C00064	GOT2;ASNS;GPT2;ASS1;CAD;GLS;PPAT;C00025;C00041;C00042;C00122;C00152;C00158;C00352;C00438;C01042;C03406	GOT1;GOT2;IL4I1;DDO;ASRGL1;ASNS;NIT2;GPT2;GPT;ASS1;ASL;ADSL;NAT8L;RIMKLB;RIMKLA;FOLH1;ASPA;GAD1;ABAT;ALDH5A1;GLUD2;GLUD1;ALDH4A1;GLUL;CAD;GLS2;GLS;CPS1;GFPT2;GFPT1;PPAT;C00022;C00025;C00026;C00041;C00042;C00049;C00064;C00122;C00152;C00158;C00352;C00438;C01042;C03406	hsa00250	Amino acid metabolism
Glutathione metabolism	-0.175438596491228	9	19	57	GGT7;GGT5;GSTO2;GSTM3;GSTM5;GSTM2;HPGDS;LANCL1;GPX3	GGT1;GGCT;CHAC1;CHAC2;GCLM;GSS;GSTP1;IDH2;PGD;PRDX6;SRM;SMS;RRM1;RRM2;C00025;C00051;C00077;C00097;C01419	GGT7;GGT6;GGT1;GGT5;GGCT;CHAC1;CHAC2;OPLAH;GCLC;GCLM;GSS;LAP3;ANPEP;GSTA4;GSTO2;GSTM4;GSTM3;MGST1;MGST3;GSTM5;MGST2;GSTA1;GSTM2;GSTO1;GSTT2B;GSTP1;GSTK1;HPGDS;LANCL1;GSR;IDH1;IDH2;PGD;G6PD;TXNDC12;GPX4;GPX7;GPX2;GPX3;GPX1;GPX8;PRDX6;ODC1;SRM;SMS;RRM1;RRM2B;RRM2;C00006;C00025;C00037;C00051;C00077;C00097;C00127;C01419;C03740	hsa00480	Metabolism of other amino acids
Phenylalanine metabolism	-0.15	4	7	20	AOC3;MAOA;ALDH3B1;C00022	GOT2;MIF;C00042;C00079;C00082;C00122;C00601	AOC3;AOC2;MAOB;MAOA;ALDH3B1;ALDH3B2;ALDH3A1;GOT1;GOT2;TAT;IL4I1;MIF;C00022;C00042;C00079;C00082;C00122;C00601;C00642;C07086	hsa00360	Amino acid metabolism
Arginine and proline metabolism	-0.113207547169811	11	17	53	GAMT;CKMT2;ALDH3A2;CARNS1;MAOA;NOS3;PRODH;ALDH4A1;L3HYPDH;C00022;C00791	CKMT1A;CKMT1B;SRM;SMS;AMD1;SMOX;ARG2;PYCR1;P4HA1;GOT2;C00019;C00025;C00062;C00077;C00148;C00300;C01250	GATM;GAMT;CKMT1A;CKMT2;CKB;CKMT1B;AZIN2;AGMAT;ODC1;SRM;SMS;AMD1;AOC1;SMOX;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;CNDP2;CARNS1;SAT2;SAT1;MAOB;MAOA;NOS2;NOS3;ARG2;OAT;PYCR3;PYCR2;PYCR1;PRODH;ALDH4A1;ALDH18A1;LAP3;P4HA2;P4HA3;P4HA1;GOT1;GOT2;HOGA1;L3HYPDH;C00019;C00022;C00025;C00062;C00077;C00148;C00300;C00791;C01250;C02305	hsa00330	Amino acid metabolism
