name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
"Alanine, aspartate and glutamate metabolism"	65	17	3.34	5.54	1.30E-06	2.70E-05	4.32	2.3	7.75	1	Customised	"ASNS, ASS1, L-Glutamate, L-Alanine, Succinate, Fumarate, L-Asparagine, Citrate, D-Glucosamine 6-phosphate, N-Carbamoyl-L-aspartate, N-Acetyl-L-aspartate, N-(L-Arginino)succinate, CAD, GLS, GOT2, GPT2, PPAT"	"ASNS, ASS1, C00025, C00041, C00042, C00122, C00152, C00158, C00352, C00438, C01042, C03406, CAD, GLS, GOT2, GPT2, PPAT"	"ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, C00014, C00022, C00025, C00026, C00036, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00169, C00232, C00334, C00352, C00402, C00438, C00940, C01042, C02362, C03090, C03406, C03794, C03912, C12270, C20775, C20776, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB"	"ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, Ammonia, Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, L-Alanine, Succinate, L-Aspartate, L-Glutamine, Fumarate, L-Asparagine, Citrate, Carbamoyl phosphate, Succinate semialdehyde, 4-Aminobutanoate, D-Glucosamine 6-phosphate, D-Aspartate, N-Carbamoyl-L-aspartate, 2-Oxoglutaramate, N-Acetyl-L-aspartate, 2-Oxosuccinamate, 5-Phosphoribosylamine, N-(L-Arginino)succinate, N6-(1,2-Dicarboxyethyl)-AMP, (S)-1-Pyrroline-5-carboxylate, N-Acetylaspartylglutamate, beta-Citryl-L-glutamate, N-Acetylaspartylglutamylglutamate, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB"
Arginine and proline metabolism	119	17	1.83	2.66	0.0047	0.023	2.01	1.11	3.42	1	Customised	"AMD1, ARG2, S-Adenosyl-L-methionine, L-Glutamate, L-Arginine, L-Ornithine, L-Proline, Creatine, N-Acetyl-L-glutamate 5-semialdehyde, CKMT1A, CKMT1B, GOT2, P4HA1, PYCR1, SMOX, SMS, SRM"	"AMD1, ARG2, C00019, C00025, C00062, C00077, C00148, C00300, C01250, CKMT1A, CKMT1B, GOT2, P4HA1, PYCR1, SMOX, SMS, SRM"	"AGMAT, ALDH18A1, ALDH1B1, ALDH2, ALDH3A2, ALDH4A1, ALDH7A1, ALDH9A1, AMD1, AOC1, ARG1, ARG2, AZIN2, C00012, C00019, C00022, C00025, C00048, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00223, C00300, C00315, C00334, C00406, C00431, C00436, C00441, C00533, C00555, C00581, C00750, C00763, C00791, C00884, C00986, C01035, C01043, C01110, C01137, C01157, C01165, C01250, C01682, C02305, C02565, C02647, C02714, C02946, C03078, C03166, C03287, C03296, C03375, C03415, C03564, C03771, C03912, C04137, C04281, C05147, C05931, C05932, C05933, C05936, C05938, C05945, C05946, C05947, C10497, C15699, C15700, C15767, C18172, C18174, C18326, C19706, CARNS1, CKB, CKM, CKMT1A, CKMT1B, CKMT2, CNDP1, CNDP2, DAO, GAMT, GATM, GOT1, GOT1L1, GOT2, HOGA1, L3HYPDH, LAP3, MAOA, MAOB, NOS1, NOS2, NOS3, OAT, ODC1, P4HA1, P4HA2, P4HA3, PRODH, PRODH2, PYCR1, PYCR2, PYCR3, SAT1, SAT2, SMOX, SMS, SRM"	"AGMAT, ALDH18A1, ALDH1B1, ALDH2, ALDH3A2, ALDH4A1, ALDH7A1, ALDH9A1, AMD1, AOC1, ARG1, ARG2, AZIN2, Peptide, S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, Glyoxylate, L-Arginine, L-Ornithine, Urea, Putrescine, L-Proline, Agmatine, Sarcosine, p-Coumaroyl-CoA, Creatine, Spermidine, 4-Aminobutanoate, Feruloyl-CoA, 5-Aminopentanoate, N-Carbamoylputrescine, L-Aspartate 4-semialdehyde, Nitric oxide, 4-Aminobutyraldehyde, Guanidinoacetate, Spermine, D-Proline, Creatinine, Homocarnosine, 1,3-Diaminopropane, 4-Guanidinobutanoate, N-Carbamoylsarcosine, 5-Amino-2-oxopentanoic acid, S-Adenosylmethioninamine, Hydroxyproline, L-Glutamate 5-semialdehyde, N-Acetyl-L-glutamate 5-semialdehyde, Nopaline, Phosphocreatine, N-Methylhydantoin, 4-Guanidinobutanal, N-Acetylputrescine, 4-Acetamidobutanoate, 4-Guanidinobutanamide, Phosphoguanidinoacetate, L-Glutamyl 5-phosphate, N2-Succinyl-L-arginine, Norspermidine, N2-Succinyl-L-ornithine, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, (S)-1-Pyrroline-5-carboxylate, D-Octopine, L-1-Pyrroline-3-hydroxy-5-carboxylate, trans-3-Hydroxy-L-proline, N-Succinyl-L-glutamate, N-Succinyl-L-glutamate 5-semialdehyde, N(omega)-Hydroxyarginine, N4-Acetylaminobutanal, L-4-Hydroxyglutamate semialdehyde, L-Arginine phosphate, (4R)-4-Hydroxy-2-oxoglutarate, L-erythro-4-Hydroxyglutamate, Feruloylputrescine, gamma-L-Glutamylputrescine, gamma-Glutamyl-gamma-aminobutyraldehyde, 4-(L-gamma-Glutamylamino)butanoate, Carboxyspermidine, Carboxynorspermidine, p-Coumaroylputrescine, cis-3-Hydroxy-L-proline, CARNS1, CKB, CKM, CKMT1A, CKMT1B, CKMT2, CNDP1, CNDP2, DAO, GAMT, GATM, GOT1, GOT1L1, GOT2, HOGA1, L3HYPDH, LAP3, MAOA, MAOB, NOS1, NOS2, NOS3, OAT, ODC1, P4HA1, P4HA2, P4HA3, PRODH, PRODH2, PYCR1, PYCR2, PYCR3, SAT1, SAT2, SMOX, SMS, SRM"
Arginine biosynthesis	45	12	3.41	4.73	2.40E-05	0.00034	4.39	2.05	8.82	1	Customised	"ARG2, ASS1, L-Glutamate, L-Arginine, L-Ornithine, Fumarate, N-Acetyl-L-glutamate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate, GLS, GOT2, GPT2"	"ARG2, ASS1, C00025, C00062, C00077, C00122, C00624, C01250, C03406, GLS, GOT2, GPT2"	"ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, C00011, C00014, C00025, C00026, C00049, C00062, C00064, C00077, C00086, C00122, C00169, C00327, C00437, C00624, C01010, C01250, C03406, C04133, C15532, C20948, C20949, C20950, C20951, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC"	"ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, CO2, Ammonia, L-Glutamate, 2-Oxoglutarate, L-Aspartate, L-Arginine, L-Glutamine, L-Ornithine, Urea, Fumarate, Carbamoyl phosphate, L-Citrulline, N-Acetylornithine, N-Acetyl-L-glutamate, Urea-1-carboxylate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate, N-Acetyl-L-glutamate 5-phosphate, N-Acetyl-L-citrulline, LysW-L-glutamate, LysW-L-glutamyl 5-phosphate, LysW-L-glutamate 5-semialdehyde, LysW-L-ornithine, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC"
Citrate cycle (TCA cycle)	50	13	3.32	4.81	1.70E-05	0.00029	4.25	2.05	8.27	1	Customised	"ACLY, Succinate, Fumarate, (S)-Malate, Citrate, FH, IDH2, MDH1, MDH2, OGDHL, PDHA1, SDHB, SDHC"	"ACLY, C00042, C00122, C00149, C00158, FH, IDH2, MDH1, MDH2, OGDHL, PDHA1, SDHB, SDHC"	"ACLY, ACO1, ACO2, C00022, C00024, C00026, C00036, C00042, C00068, C00074, C00091, C00122, C00149, C00158, C00311, C00417, C05125, C05379, C05381, C15972, C15973, C16254, C16255, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2"	"ACLY, ACO1, ACO2, Pyruvate, Acetyl-CoA, 2-Oxoglutarate, Oxaloacetate, Succinate, Thiamin diphosphate, Phosphoenolpyruvate, Succinyl-CoA, Fumarate, (S)-Malate, Citrate, Isocitrate, cis-Aconitate, 2-(alpha-Hydroxyethyl)thiamine diphosphate, Oxalosuccinate, 3-Carboxy-1-hydroxypropyl-ThPP, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2"
Cysteine and methionine metabolism	117	28	3.06	6.57	1.10E-08	4.70E-07	3.93	2.44	6.16	1	Customised	"AHCY, AMD1, S-Adenosyl-L-methionine, S-Adenosyl-L-homocysteine, L-Alanine, Glutathione, L-Serine, L-Methionine, L-Cysteine, 5'-Methylthioadenosine, 3-Phospho-D-glycerate, L-Cystathionine, CBS, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLM, GOT2, GSS, LDHA, LDHB, MDH1, MDH2, PHGDH, PSAT1, SMS, SRM"	"AHCY, AMD1, C00019, C00021, C00041, C00051, C00065, C00073, C00097, C00170, C00197, C02291, CBS, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLM, GOT2, GSS, LDHA, LDHB, MDH1, MDH2, PHGDH, PSAT1, SMS, SRM"	"ADI1, AGXT2, AHCY, AHCYL1, AHCYL2, AMD1, APIP, BCAT1, BCAT2, BHMT, BHMT2, C00019, C00021, C00022, C00041, C00049, C00051, C00059, C00065, C00073, C00094, C00097, C00109, C00155, C00170, C00197, C00263, C00283, C00409, C00441, C00491, C00506, C00606, C00793, C00957, C00979, C01005, C01077, C01118, C01137, C01180, C01234, C01817, C01962, C02218, C02291, C02356, C02989, C03082, C03089, C03145, C03232, C03539, C04188, C04582, C05324, C05524, C05526, C05527, C05528, C05823, C05824, C06547, C08276, C09306, C11437, C11481, C11499, C11537, C15606, C15650, C15651, C18049, C19787, C21015, C21016, C22359, CBS, CDO1, CTH, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLC, GCLM, GOT1, GOT1L1, GOT2, GSS, IL4I1, KYAT1, KYAT3, LACC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LOC102724560, MAT1A, MAT2A, MAT2B, MDH1, MDH2, MPST, MRI1, MTAP, MTR, PHGDH, PSAT1, SDS, SDSL, SMS, SRM, TAT, TST"	"ADI1, AGXT2, AHCY, AHCYL1, AHCYL2, AMD1, APIP, BCAT1, BCAT2, BHMT, BHMT2, S-Adenosyl-L-methionine, S-Adenosyl-L-homocysteine, Pyruvate, L-Alanine, L-Aspartate, Glutathione, Sulfate, L-Serine, L-Methionine, Sulfite, L-Cysteine, 2-Oxobutanoate, L-Homocysteine, 5'-Methylthioadenosine, 3-Phospho-D-glycerate, L-Homoserine, Hydrogen sulfide, Methanethiol, L-Aspartate 4-semialdehyde, L-Cystine, L-Cysteate, 3-Sulfino-L-alanine, D-Cysteine, Mercaptopyruvate, O-Acetyl-L-serine, O-Phospho-L-serine, O-Acetyl-L-homoserine, O-Succinyl-L-homoserine, S-Adenosylmethioninamine, 4-Methylthio-2-oxobutanoic acid, 1-Aminocyclopropane-1-carboxylate, L-Homocystine, Thiocysteine, Dehydroalanine, L-Cystathionine, (S)-2-Aminobutanoate, L-Methionine S-oxide, 4-Phospho-L-aspartate, 5-Methylthio-D-ribose, N-Formylmethionine, 3-Phosphonooxypyruvate, S-Ribosyl-L-homocysteine, S-Methyl-5-thio-D-ribose 1-phosphate, S-Methyl-5-thio-D-ribulose 1-phosphate, Nicotianamine, Aminoacyl-L-methionine, S-Glutathionyl-L-cysteine, 3-Sulfinylpyruvate, 3-Sulfopyruvate, 3-Mercaptolactate, S-Sulfo-L-cysteine, Ethylene, 3-(Methylthio)propanoate, Sulfur dioxide, 1-Deoxy-D-xylulose 5-phosphate, HSO3-, (S)-3-Sulfolactate, (2R)-3-Sulfolactate, 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one, 2,3-Diketo-5-methylthiopentyl-1-phosphate, 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate, N-Acyl-L-homoserine lactone, 5'-S-Methyl-5'-thioinosine, gamma-L-Glutamyl-L-2-aminobutyrate, Ophthalmate, S-Methyl-1-thio-D-xylulose 5-phosphate, CBS, CDO1, CTH, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLC, GCLM, GOT1, GOT1L1, GOT2, GSS, IL4I1, KYAT1, KYAT3, LACC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LOC102724560, MAT1A, MAT2A, MAT2B, MDH1, MDH2, MPST, MRI1, MTAP, MTR, PHGDH, PSAT1, SDS, SDSL, SMS, SRM, TAT, TST"
D-Amino acid metabolism	75	13	2.21	3.09	0.0017	0.01	2.52	1.26	4.69	1	Customised	"L-Glutamate, L-Alanine, L-Lysine, L-Arginine, L-Serine, L-Methionine, L-Ornithine, L-Phenylalanine, L-Cysteine, L-Proline, L-Threonine, N-Acetyl-L-glutamate, GLS"	"C00025, C00041, C00047, C00062, C00065, C00073, C00077, C00079, C00097, C00148, C00188, C00624, GLS"	"C00022, C00025, C00026, C00036, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00084, C00097, C00133, C00134, C00135, C00148, C00166, C00188, C00217, C00402, C00431, C00433, C00515, C00624, C00666, C00680, C00692, C00739, C00740, C00763, C00792, C00793, C00819, C00820, C00855, C00993, C01110, C01157, C01180, C01667, C01672, C01726, C02237, C02265, C02855, C03239, C03341, C03440, C03564, C03771, C03933, C03943, C04260, C04282, C04457, C05161, C05620, C05825, C05939, C05941, C05942, C06419, C22024, C22025, C22611, DAO, DDO, DGLUCY, GLS, GLS2, SRR"	"Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, Glycine, L-Alanine, L-Lysine, L-Aspartate, L-Arginine, L-Glutamine, L-Serine, L-Methionine, L-Ornithine, L-Phenylalanine, Acetaldehyde, L-Cysteine, D-Alanine, Putrescine, L-Histidine, L-Proline, Phenylpyruvate, L-Threonine, D-Glutamate, D-Aspartate, 5-Aminopentanoate, 2,5-Dioxopentanoate, D-Ornithine, N-Acetyl-L-glutamate, LL-2,6-Diaminoheptanedioate, meso-2,6-Diaminoheptanedioate, UDP-N-acetylmuramoyl-L-alanyl-D-glutamate, D-Lysine, D-Serine, D-Proline, D-Arginine, D-Cysteine, D-Glutamine, D-Threonine, D-Methionine, D-Alanyl-D-alanine, 5-Amino-2-oxopentanoic acid, Hydroxyproline, 4-Methylthio-2-oxobutanoic acid, Bacitracin, Cadaverine, D-Lombricine, 5-Oxo-D-proline, D-Phenylalanine, N-Phospho-D-lombricine, 6-Amino-2-oxohexanoate, 2-Amino-4-oxopentanoic acid, cis-4-Hydroxy-D-proline, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, 5-D-Glutamyl-D-glutamyl-peptide, (2R,4S)-2,4-Diaminopentanoate, O-D-Alanyl-poly(ribitol phosphate), 1-Pyrroline-4-hydroxy-2-carboxylate, D-Alanyl-alanyl-poly(glycerolphosphate), (2R,5S)-2,5-Diaminohexanoate, N-Acetyl-D-phenylalanine, 2-Amino-5-oxohexanoate, Linatine, 2-Oxo-4-hydroxy-5-aminovalerate, Pyrrole-2-carboxylate, D-Histidine, Staphylopine, (2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate, C22611, DAO, DDO, DGLUCY, GLS, GLS2, SRR"
Glutathione metabolism	95	19	2.56	4.46	3.20E-05	0.00038	3.05	1.72	5.16	1	Customised	"L-Glutamate, Glutathione, L-Ornithine, L-Cysteine, Cys-Gly, CHAC1, CHAC2, GCLM, GGCT, GGT1, GSS, GSTP1, IDH2, PGD, PRDX6, RRM1, RRM2, SMS, SRM"	"C00025, C00051, C00077, C00097, C01419, CHAC1, CHAC2, GCLM, GGCT, GGT1, GSS, GSTP1, IDH2, PGD, PRDX6, RRM1, RRM2, SMS, SRM"	"ANPEP, C00005, C00006, C00024, C00025, C00037, C00051, C00072, C00077, C00097, C00127, C00134, C00151, C00315, C00669, C00750, C01322, C01419, C01672, C01879, C02090, C02320, C03170, C03646, C03740, C05422, C05726, C05727, C05729, C05730, C16562, C16563, C16564, C16565, C16566, C16567, C16568, C16663, C16664, CHAC1, CHAC2, G6PD, GCLC, GCLM, GGCT, GGT1, GGT5, GGT6, GGT7, GPX1, GPX2, GPX3, GPX4, GPX5, GPX6, GPX7, GPX8, GSR, GSS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTK1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, HPGDS, IDH1, IDH2, LANCL1, LAP3, MGST1, MGST2, MGST3, NAT8, ODC1, OPLAH, PGD, PRDX6, RRM1, RRM2, RRM2B, SMS, SRM, TXNDC12"	"ANPEP, NADPH, NADP+, Acetyl-CoA, L-Glutamate, Glycine, Glutathione, Ascorbate, L-Ornithine, L-Cysteine, Glutathione disulfide, Putrescine, L-Amino acid, Spermidine, gamma-L-Glutamyl-L-cysteine, Spermine, RX, Cys-Gly, Cadaverine, 5-Oxoproline, Trypanothione, R-S-Glutathione, Trypanothione disulfide, Bis-gamma-glutamylcystine, (5-L-Glutamyl)-L-amino acid, Dehydroascorbate, S-Substituted L-cysteine, S-Substituted N-acetyl-L-cysteine, R-S-Cysteinylglycine, Glutathionylspermidine, Glutathionylspermine, Bis(glutathionyl)spermine, Bis(glutathionyl)spermine disulfide, Aminopropylcadaverine, Glutathionylaminopropylcadaverine, Homotrypanothione, Homotrypanothione disulfide, Tryparedoxin, Tryparedoxin disulfide, CHAC1, CHAC2, G6PD, GCLC, GCLM, GGCT, GGT1, GGT5, GGT6, GGT7, GPX1, GPX2, GPX3, GPX4, GPX5, GPX6, GPX7, GPX8, GSR, GSS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTK1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, HPGDS, IDH1, IDH2, LANCL1, LAP3, MGST1, MGST2, MGST3, NAT8, ODC1, OPLAH, PGD, PRDX6, RRM1, RRM2, RRM2B, SMS, SRM, TXNDC12"
"Glycine, serine and threonine metabolism"	88	17	2.47	4.05	0.00012	0.0012	2.91	1.59	5.05	1	Customised	"L-Serine, L-Tryptophan, L-Cysteine, Choline, L-Threonine, 3-Phospho-D-glycerate, Creatine, Betaine, L-Cystathionine, CBS, GCSH, GLDC, PGAM1, PHGDH, PSAT1, PSPH, SHMT2"	"C00065, C00078, C00097, C00114, C00188, C00197, C00300, C00719, C02291, CBS, GCSH, GLDC, PGAM1, PHGDH, PSAT1, PSPH, SHMT2"	"AGXT, AGXT2, ALAS1, ALAS2, ALDH7A1, AMT, AOC2, AOC3, BHMT, BPGM, C00011, C00014, C00022, C00037, C00048, C00049, C00065, C00078, C00097, C00101, C00109, C00114, C00143, C00168, C00188, C00197, C00213, C00258, C00263, C00300, C00430, C00441, C00546, C00576, C00581, C00631, C00719, C00740, C00986, C01005, C01026, C01102, C01242, C01888, C02051, C02291, C02737, C02972, C03082, C03194, C03232, C03283, C03508, C05519, C06231, C06442, C16432, C19929, CBS, CHDH, CTH, DAO, DLD, DMGDH, GAMT, GATM, GCAT, GCSH, GLDC, GLYCTK, GNMT, GRHPR, LOC102724560, MAOA, MAOB, PGAM1, PGAM2, PGAM4, PHGDH, PIPOX, PSAT1, PSPH, SARDH, SDS, SDSL, SHMT1, SHMT2, SRR"	"AGXT, AGXT2, ALAS1, ALAS2, ALDH7A1, AMT, AOC2, AOC3, BHMT, BPGM, CO2, Ammonia, Pyruvate, Glycine, Glyoxylate, L-Aspartate, L-Serine, L-Tryptophan, L-Cysteine, Tetrahydrofolate, 2-Oxobutanoate, Choline, 5,10-Methylenetetrahydrofolate, Hydroxypyruvate, L-Threonine, 3-Phospho-D-glycerate, Sarcosine, D-Glycerate, L-Homoserine, Creatine, 5-Aminolevulinate, L-Aspartate 4-semialdehyde, Methylglyoxal, Betaine aldehyde, Guanidinoacetate, 2-Phospho-D-glycerate, Betaine, D-Serine, 1,3-Diaminopropane, O-Phospho-L-serine, N,N-Dimethylglycine, O-Phospho-L-homoserine, [Protein]-S8-aminomethyldihydrolipoyllysine, Aminoacetone, Lipoylprotein, L-Cystathionine, Phosphatidylserine, Dihydrolipoylprotein, 4-Phospho-L-aspartate, (R)-1-Aminopropan-2-ol, 3-Phosphonooxypyruvate, L-2,4-Diaminobutanoate, L-2-Amino-3-oxobutanoic acid, L-Allothreonine, Ectoine, N(gamma)-Acetyldiaminobutyrate, 5-Hydroxyectoine, N(alpha)-Acetyl-L-2,4-diaminobutyrate, CBS, CHDH, CTH, DAO, DLD, DMGDH, GAMT, GATM, GCAT, GCSH, GLDC, GLYCTK, GNMT, GRHPR, LOC102724560, MAOA, MAOB, PGAM1, PGAM2, PGAM4, PHGDH, PIPOX, PSAT1, PSPH, SARDH, SDS, SDSL, SHMT1, SHMT2, SRR"
Glycolysis / Gluconeogenesis	98	14	1.83	2.41	0.0085	0.038	2	1.04	3.59	1	Customised	"Glycerone phosphate, (S)-Lactate, 3-Phospho-D-glycerate, beta-D-Fructose 1,6-bisphosphate, ENO1, GAPDH, GPI, LDHA, LDHB, PDHA1, PGAM1, PGK1, PKM, TPI1"	"C00111, C00186, C00197, C05378, ENO1, GAPDH, GPI, LDHA, LDHB, PDHA1, PGAM1, PGK1, PKM, TPI1"	"ACSS1, ACSS2, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, ADPGK, AKR1A1, ALDH1B1, ALDH2, ALDH3A1, ALDH3A2, ALDH3B1, ALDH3B2, ALDH7A1, ALDH9A1, ALDOA, ALDOB, ALDOC, BPGM, C00022, C00024, C00031, C00033, C00036, C00068, C00074, C00084, C00103, C00111, C00118, C00186, C00197, C00221, C00236, C00267, C00469, C00631, C00668, C01159, C01172, C01451, C05125, C05345, C05378, C06186, C06187, C06188, C15972, C15973, C16255, DLAT, DLD, ENO1, ENO2, ENO3, ENO4, FBP1, FBP2, G6PC1, G6PC2, G6PC3, GALM, GAPDH, GAPDHS, GCK, GPI, HK1, HK2, HK3, HKDC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, MINPP1, PCK1, PCK2, PDHA1, PDHA2, PDHB, PFKL, PFKM, PFKP, PGAM1, PGAM2, PGAM4, PGK1, PGK2, PGM1, PGM2, PKLR, PKM, TPI1"	"ACSS1, ACSS2, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, ADPGK, AKR1A1, ALDH1B1, ALDH2, ALDH3A1, ALDH3A2, ALDH3B1, ALDH3B2, ALDH7A1, ALDH9A1, ALDOA, ALDOB, ALDOC, BPGM, Pyruvate, Acetyl-CoA, D-Glucose, Acetate, Oxaloacetate, Thiamin diphosphate, Phosphoenolpyruvate, Acetaldehyde, D-Glucose 1-phosphate, Glycerone phosphate, D-Glyceraldehyde 3-phosphate, (S)-Lactate, 3-Phospho-D-glycerate, beta-D-Glucose, 3-Phospho-D-glyceroyl phosphate, alpha-D-Glucose, Ethanol, 2-Phospho-D-glycerate, alpha-D-Glucose 6-phosphate, 2,3-Bisphospho-D-glycerate, beta-D-Glucose 6-phosphate, Salicin, 2-(alpha-Hydroxyethyl)thiamine diphosphate, beta-D-Fructose 6-phosphate, beta-D-Fructose 1,6-bisphosphate, Arbutin, Arbutin 6-phosphate, Salicin 6-phosphate, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine, DLAT, DLD, ENO1, ENO2, ENO3, ENO4, FBP1, FBP2, G6PC1, G6PC2, G6PC3, GALM, GAPDH, GAPDHS, GCK, GPI, HK1, HK2, HK3, HKDC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, MINPP1, PCK1, PCK2, PDHA1, PDHA2, PDHB, PFKL, PFKM, PFKP, PGAM1, PGAM2, PGAM4, PGK1, PGK2, PGM1, PGM2, PKLR, PKM, TPI1"
Glycosaminoglycan biosynthesis - keratan sulfate	14	4	3.65	2.89	0.0032	0.017	4.75	1.08	16.6	1	Customised	"B3GNT7, B4GALT2, B4GALT3, CHST6"	"B3GNT7, B4GALT2, B4GALT3, CHST6"	"B3GNT2, B3GNT7, B4GALT1, B4GALT2, B4GALT3, B4GALT4, CHST1, CHST2, CHST4, CHST6, FUT8, ST3GAL1, ST3GAL2, ST3GAL3"	"B3GNT2, B3GNT7, B4GALT1, B4GALT2, B4GALT3, B4GALT4, CHST1, CHST2, CHST4, CHST6, FUT8, ST3GAL1, ST3GAL2, ST3GAL3"
