pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"Alanine, aspartate and glutamate metabolism"	0.642179236	0.810133806	0.011434985	0.192195827	0.87754561	45	"c(""ASPA"", ""ABAT"", ""CPS1"", ""ALDH4A1"", ""GLUL"", ""GLUD1"", ""GLS2"", ""NAT8L"", ""RIMKLB"", ""DDO"", ""GPT"")"
Amino sugar and nucleotide sugar metabolism	0.054639175	0.203655108	0.080320742	-0.255995394	-1.419134729	55	"c(""GPI"", ""CYB5R2"", ""NANP"", ""C06241"", ""UAP1"", ""GALE"", ""C00167"", ""C02985"", ""CMAS"", ""GMDS"", ""GALK1"", ""C00029"", ""C00043"", ""C00190"", ""C00096"", ""NANS"", ""C00352"", ""PGM1"", ""PGM3"", ""GNPNAT1"", ""C05385"", ""GMPPA"", ""GFPT1"", ""UXS1"", ""PMM2"", ""GALK2"", ""GNPDA1"")"
Arachidonic acid metabolism	0.000742057	0.015212168	0.477270815	0.437537216	1.973139742	43	"c(""PTGDS"", ""HPGD"", ""PLA2G2A"", ""GGT5"", ""PTGIS"", ""CYP2E1"", ""PLA2G4F"", ""HPGDS"", ""PLA2G4C"", ""LTC4S"", ""PLA2G6"", ""TBXAS1"", ""EPHX2"", ""PLB1"", ""JMJD7-PLA2G4B"", ""ALOX5"", ""PTGS1"", ""CYP2U1"", ""AKR1C3"", ""PLA2G4B"", ""PTGR2"", ""PTGES"")"
Arginine and proline metabolism	0.593911504	0.785495861	0.012002327	0.192358845	0.914041538	53	"c(""MAOA"", ""PRODH"", ""MAOB"", ""NOS3"", ""ALDH2"", ""ALDH4A1"", ""CKMT2"", ""GAMT"", ""ALDH3A2"", ""CARNS1"", ""P4HA3"", ""CKB"", ""HOGA1"", ""GATM"")"
Arginine biosynthesis	0.474358974	0.688953745	0.022980181	-0.213734904	-0.984370359	29	"c(""GPT2"", ""ASS1"", ""ARG2"", ""GOT2"", ""GLS"", ""C03406"", ""C00624"", ""C00025"", ""GOT1"", ""C00062"", ""C00122"", ""C01250"")"
Ascorbate and aldarate metabolism	0.673183914	0.814054681	0.011903062	0.234720705	0.843848648	19	"c(""KL"", ""ALDH2"", ""ALDH3A2"", ""UGDH"")"
Biosynthesis of unsaturated fatty acids	0.420329255	0.67359924	0.025376275	-0.210939423	-1.018495559	34	"c(""FADS2"", ""ELOVL6"", ""SCD"", ""FADS1"", ""ACOT7"", ""HACD1"", ""HSD17B12"")"
Biotin metabolism	0.389600091	0.656376979	0.022388551	-0.432640619	-1.038961397	5	"c(""HLCS"", ""C00047"", ""OXSM"", ""C00120"")"
Butanoate metabolism	0.95497085	0.997535049	0.007945598	0.145090437	0.57842344	27	"c(""ABAT"", ""ACSM5"", ""ACSM1"", ""ACADS"", ""GAD1"", ""HMGCL"")"
Citrate cycle (TCA cycle)	0.112925589	0.319306839	0.052320102	-0.267830981	-1.325628454	37	"c(""OGDHL"", ""IDH2"", ""FH"", ""PDHA1"", ""MDH2"", ""ACLY"", ""SDHC"", ""IDH1"", ""MDH1"", ""DLAT"", ""DLD"", ""C00042"", ""SDHB"", ""C00149"", ""C00122"")"
Cysteine and methionine metabolism	2.19E-05	0.000599716	0.575610261	-0.399458396	-2.262883562	60	"c(""CBS"", ""PSAT1"", ""DNMT3B"", ""PHGDH"", ""C02291"", ""C00097"", ""AMD1"", ""GCLM"", ""LDHB"", ""AHCY"", ""BCAT1"", ""C00051"", ""SMS"", ""GOT2"", ""MDH2"", ""MAT1A"", ""ENOPH1"", ""DNMT3A"", ""MTAP"", ""SRM"", ""LDHA"", ""IL4I1"", ""C00019"", ""DNMT1"", ""GSS"", ""C00170"", ""MDH1"")"
D-Amino acid metabolism	0.421524664	0.67359924	0.024248581	-0.238950261	-1.020961568	23	"c(""C00097"", ""GLS"", ""C00624"", ""C00073"", ""C00047"", ""C00025"", ""C00148"", ""C00062"", ""C00079"", ""C00041"", ""C00077"", ""C00188"", ""C00065"", ""C00049"", ""C00037"")"
Drug metabolism - cytochrome P450	9.55E-07	3.92E-05	0.643551836	0.577251929	2.471566251	35	"c(""ADH1B"", ""AOX1"", ""MAOA"", ""GSTM5"", ""GSTM2"", ""ADH1C"", ""FMO5"", ""FMO2"", ""GSTM3"", ""FMO1"", ""MAOB"", ""CYP2E1"", ""GSTO2"", ""HPGDS"", ""FMO3"", ""CYP3A5"", ""FMO4"", ""ALDH3B1"")"
Drug metabolism - other enzymes	0.284822695	0.556090759	0.020353571	0.240647471	1.138710438	52	"c(""GSTM5"", ""GSTM2"", ""NAT1"", ""GSTM3"", ""CES1"", ""DPYD"", ""CYP2E1"", ""GSTO2"", ""DPYS"", ""TK2"")"
Ether lipid metabolism	0.109318333	0.319306839	0.036133062	0.3110943	1.351924378	37	"c(""ENPP2"", ""PLPP3"", ""PLPP1"", ""PLA2G2A"", ""PLD4"", ""PLA2G4F"", ""PLA2G4C"", ""PLA2G6"", ""PLB1"", ""PLD1"", ""JMJD7-PLA2G4B"")"
Fatty acid biosynthesis	0.997535049	0.997535049	0.007527538	0.106449824	0.415497162	25	"c(""ACACB"", ""ACSL5"", ""HSD17B8"")"
Fatty acid degradation	0.079921174	0.252059086	0.042398065	0.311467046	1.404607387	43	"c(""ADH1B"", ""ADH1C"", ""ACADSB"", ""ALDH2"", ""CPT1A"", ""ACSL5"", ""ALDH3A2"", ""ACADL"", ""ACOX3"", ""ACADS"", ""CYP2U1"", ""ECI2"", ""ACADVL"", ""ACAA2"", ""ACADM"", ""CPT2"")"
Fatty acid elongation	0.983905734	0.997535049	0.014139978	-0.119926594	-0.546071607	28	"c(""ELOVL6"", ""ACOT7"", ""HACD1"", ""HSD17B12"", ""ELOVL1"", ""ELOVL4"", ""THEM5"", ""HADH"", ""HACD2"")"
Folate biosynthesis	0.838356164	0.91660274	0.009501688	0.192334952	0.713609365	21	"c(""MOCS1"", ""ALPL"", ""QDPR"", ""AKR1C3"", ""TPH1"", ""MOCS2"", ""DHFR2"", ""GPHN"", ""PCBD2"", ""C00044"")"
Fructose and mannose metabolism	0.155312932	0.424522015	0.044246085	-0.256367825	-1.256203751	36	"c(""TPI1"", ""PFKFB4"", ""PFKP"", ""PFKFB2"", ""C02985"", ""GMDS"", ""C05378"", ""SORD"", ""C06192"", ""ALDOA"", ""C00096"", ""PFKL"", ""KHK"", ""C00111"", ""C00186"", ""GMPPA"", ""PMM2"")"
Galactose metabolism	0.487570053	0.689323179	0.022571107	-0.214638492	-0.977331066	28	"c(""PFKP"", ""MGAM2"", ""GALE"", ""GALK1"", ""C00029"", ""B4GALT2"", ""GLA"", ""PGM1"", ""PFKL"", ""C00111"", ""GLB1"", ""C00137"", ""C05401"", ""UGP2"", ""HK1"")"
Glutathione metabolism	0.095072866	0.288739815	0.060807239	-0.237071197	-1.326353849	57	"c(""RRM2"", ""C00097"", ""CHAC1"", ""IDH2"", ""C01419"", ""GCLM"", ""CHAC2"", ""GGT1"", ""C00051"", ""GGCT"", ""SMS"", ""PGD"", ""GSTP1"", ""RRM1"", ""PRDX6"", ""SRM"", ""IDH1"", ""ODC1"", ""GSS"")"
Glycerolipid metabolism	0.720402845	0.843900476	0.009971026	0.173195606	0.834011838	56	"c(""MGLL"", ""PLPP3"", ""PLPP1"", ""LPL"", ""GPAM"", ""ALDH2"", ""ALDH3A2"", ""PNPLA2"", ""DGKA"")"
Glycerophospholipid metabolism	0.478906872	0.688953745	0.013573223	0.186215602	0.994593052	93	"c(""GPD1"", ""PLPP3"", ""PLPP1"", ""PLA2G2A"", ""GPAM"", ""GPD1L"", ""PLD4"", ""PNPLA7"", ""PLA2G4F"", ""GPCPD1"", ""PLA2G4C"", ""PLA2G6"", ""PISD"", ""PLB1"", ""PLD1"", ""JMJD7-PLA2G4B"", ""DGKA"", ""PLA1A"", ""DGKD"", ""PLA2G4B"", ""CHKB"", ""DGKI"", ""CEPT1"", ""LPCAT3"", ""PLPP5"", ""PHOSPHO1"", ""ADPRM"", ""CDS2"", ""ETNK1"", ""GPAT3"", ""DGKG"", ""PEMT"", ""AGPAT2"", ""LCAT"", ""MBOAT1"", ""PLD3"")"
"Glycine, serine and threonine metabolism"	0.040216678	0.164888378	0.091698849	-0.278435266	-1.476495945	47	"c(""GLDC"", ""CBS"", ""PSAT1"", ""PHGDH"", ""C02291"", ""C00097"", ""SHMT2"", ""PSPH"", ""GCSH"")"
