ER-1	ER-2	ER-3	ER-4	ER-5	ER-6	ER-7	ER-8	ER-9	TNBC-1	TNBC-2	TNBC-3	TNBC-4	TNBC-5	TNBC-6	TNBC-7	TNBC-8	TNBC-9	TNBC-10	TNBC-11	TNBC-12	TNBC-13	TNBC-14	TNBC-15	WHIM30-1	WHIM30-2	WHIM30-3	WHIM30-4	WHIM2-1	WHIM2-2	WHIM2-3	
C09642	18.78228726	20.89024786	19.78052031	20.5199144	20.14033358	20.16866901	19.76338958	19.12255692	20.86755275	20.02466115	20.03942318	20.2991522	19.7937858	19.80416802	20.65124965	20.5560709	21.38005039	19.57938804	20.00016689	20.57171051	20.23665803	20.55300956	19.87489694	19.58031517	20.32838258	20.5488397	20.75070469	20.60983461	20.17330573	19.47338809	19.92015549
C05581	21.24674154	22.98870036	20.14230861	21.29530381	19.78743545	23.21979649	21.04516508	20.30790146	22.31688529	21.7767404	18.71939014	23.62811282	21.79216247	18.28018161	22.23080629	21.62462657	21.05772091	19.54844055	19.43802037	22.89147603	21.07440605	20.76172481	21.31900765	22.39245006	23.3686178	23.03371488	24.11514804	23.49200041	22.11406962	21.73062802	22.30524601
C03264	22.14937514	22.54045236	22.69343813	22.23823895	22.80304131	22.58820284	21.94613069	21.53629418	22.28951356	21.92920987	22.63019796	22.86992694	22.07002732	19.63379303	23.2528349	22.00246589	22.38292169	21.28670374	21.2177069	23.3680146	22.32752188	22.08133785	22.59219884	23.18394884	23.66671124	23.92333415	23.51047606	23.49889783	24.33510617	23.42666609	23.79640195
C15025	30.02675617	32.53354293	32.19541633	32.15122918	32.21867787	31.71914587	31.47168319	30.81886104	32.74135799	32.21134794	30.81590792	31.57012662	31.07556582	30.8236233	32.5260676	31.55592272	31.71979652	31.01131056	31.15761445	32.38678334	32.03957593	31.56166619	32.20619954	32.3947178	32.15037758	32.67303678	32.553198	32.4874665	31.86239109	32.03148632	31.9406929
C00408	21.75101493	23.459843	23.50204091	22.76542597	22.81746881	23.05537655	22.48897544	22.19830513	23.17049851	22.90579286	21.97149082	22.62943784	21.95545836	21.68481484	22.36409962	22.98461104	21.92438247	22.18891038	22.09496279	22.64291435	22.08800529	22.84221973	22.64974221	23.01186552	20.8293018	20.56443783	20.71845668	20.15199681	20.44084166	21.10144487	20.86844084
C02918	22.7163101	26.81644894	26.15721264	25.64681441	25.71794857	24.88397446	26.50510998	25.37832124	26.33728913	26.15809255	26.76937268	28.17929527	23.01682626	24.77437144	26.29130223	26.13744152	27.23026969	24.95631046	24.71644565	26.238982	28.55059647	26.12256076	24.97861628	26.42456064	26.46745997	26.83535671	27.03034697	27.28961941	21.1192477	21.45172607	21.39936654
C06178	23.89582121	26.94248885	26.90272784	25.46525248	25.21817439	25.96782932	25.62223011	24.70861093	26.53040441	26.24333798	24.39143359	26.68531535	24.47495008	23.76600065	27.20654464	25.84729778	25.9162816	24.00675618	24.421708	26.62384828	25.92119803	25.11133555	26.31014905	26.64182229	27.2801607	27.20599494	27.61577405	27.28071468	27.00133184	26.9914147	27.21131207
C01250	18.90749175	20.75302763	21.374945	20.79536959	20.47746903	20.64523314	19.02064794	18.01821973	19.37412871	21.5188103	18.79679783	21.05988878	18.49368668	17.13813542	24.31540772	21.45156199	19.47320526	20.07725651	19.11758982	22.6606818	20.21531041	20.90606349	22.34894219	21.31135224	20.33519351	21.54562847	21.61000624	21.25226241	19.64262069	18.83426486	17.58864054
C02220	19.8466587	20.90163115	19.93089538	20.33311905	20.23682889	23.89312423	20.62781132	19.7595256	24.0347403	23.28365348	19.84907486	19.33738231	19.25966546	20.02268183	23.4645637	22.67071072	19.91668418	18.79903065	20.83968325	24.17864379	19.25271096	20.85762772	23.98240236	21.80655547	19.99100243	21.7570045	21.32691435	21.1388027	23.51592504	24.09610543	23.49783463
C00881	21.78299591	23.36353364	22.82730701	21.16492517	20.42851696	22.07598857	21.41770584	19.55618657	21.83366705	23.86771147	20.38528903	18.07894934	20.18529118	19.45362093	19.81845227	20.57484573	21.89896495	19.2129426	19.52383896	23.86275826	23.13564856	18.1908215	23.31605239	21.03682031	21.49758502	20.65389157	22.2274327	21.36701921	24.54786116	23.56813968	24.8530197
C00673	9.965784285	9.965784285	19.9208401	19.46909861	18.29641271	18.12453957	25.18091434	17.79480533	18.50837041	20.15484572	19.21154461	20.7813443	17.39070637	16.809524	19.87419651	21.56885223	19.71628885	18.70604678	17.77506854	20.7635194	19.56416604	21.63118349	19.76341346	19.24587536	21.55545979	21.96065747	21.70499569	21.79186904	20.49608195	20.92033572	21.15727075
C02630	24.49158124	25.76142139	24.6600696	25.74900218	26.11759187	25.28846436	23.94047874	23.63754901	31.20537038	27.04885228	25.1318386	27.15746551	23.80016563	22.9009289	29.58390647	26.21074283	26.43226491	26.54143308	24.84846865	27.66728011	26.43682934	25.00073132	28.18591143	26.23756976	26.79459467	27.468163	27.17158017	27.09520704	27.28905476	27.36809088	27.32830384
