name	beta	HR (95% CI for HR)	wald.test	p.value
C03819	1.2e-06	1 (1-1)	0.31	0.58
C02918	4.8e-07	1 (1-1)	0.1	0.75
C03916	-1.7e-07	1 (1-1)	0.11	0.74
C04102	-3.1e-08	1 (1-1)	0.07	0.79
C01885	6.3e-07	1 (1-1)	0.12	0.73
C07326	-5.1e-06	1 (1-1)	0.22	0.64
C00307	7e-08	1 (1-1)	0.12	0.73
C04555	-3.1e-06	1 (1-1)	1.1	0.3
C01181	3.2e-07	1 (1-1)	1.6	0.2
C03242	2.2e-09	1 (1-1)	0.01	0.93
C03626	2.4e-08	1 (1-1)	0	0.97
C06429	-4.1e-08	1 (1-1)	0.06	0.81
C16513	-1.5e-08	1 (1-1)	0.02	0.89
C16534	2.2e-07	1 (1-1)	0.24	0.63
C06428	1.4e-07	1 (1-1)	0.64	0.42
C01620	2.6e-07	1 (1-1)	0.04	0.84
C00189	-5.5e-08	1 (1-1)	0.28	0.6
C00095	-5.2e-07	1 (1-1)	0.34	0.56
C05345	-3.3e-07	1 (1-1)	0.5	0.48
C00122	-1.5e-06	1 (1-1)	0.3	0.58
C01662	-4.2e-08	1 (1-1)	1.5	0.22
C02483	4.6e-07	1 (1-1)	0.95	0.33
C00257	-6e-07	1 (1-1)	0.78	0.38
C00293	3.1e-08	1 (1-1)	0.34	0.56
C00668	-1.1e-07	1 (1-1)	0.74	0.39
C00191	-3.8e-06	1 (1-1)	0.65	0.42
C00025	-5.8e-09	1 (1-1)	0.24	0.62
C00064	-3.7e-08	1 (1-1)	0.1	0.75
C00127	-8.2e-09	1 (1-1)	0.01	0.91
C00051	1.6e-07	1 (1-1)	4.2	0.041
C00258	-1.8e-06	1 (1-1)	0.22	0.64
C00116	8.2e-09	1 (1-1)	0.24	0.63
C00093	2.9e-07	1 (1-1)	2.3	0.13
C00037	-1.3e-08	1 (1-1)	0.88	0.35
C02155	1.1e-07	1 (1-1)	0	0.96
C00242	-9.1e-08	1 (1-1)	0.2	0.66
C00387	-2.9e-07	1 (1-1)	0.26	0.61
C00032	2.2e-07	1 (1-1)	1.3	0.26
C01586	-7.3e-07	1 (1-1)	0.04	0.84
C00388	-1.1e-07	1 (1-1)	0.02	0.89
C00135	-3.2e-07	1 (1-1)	0.27	0.61
C00262	-1.5e-07	1 (1-1)	0.12	0.72
C00294	4.3e-08	1 (1-1)	0.01	0.93
C01177	-7.9e-08	1 (1-1)	0.03	0.86
C00407	-2.1e-08	1 (1-1)	0.93	0.34
C00328	1.9e-07	1 (1-1)	0.21	0.64
C00186	3.8e-10	1 (1-1)	0.01	0.93
C02679	-3.7e-07	1 (1-1)	0.28	0.6
C00123	-1.1e-08	1 (1-1)	0.34	0.56
