name	type	logFC	AveExpr	t	p_value	adj.P.Val	B	logP	colors
C00004	metabolite	-2.32	21.7270474435005	-4.04375395996016	0.000310519384377982	0.000985561524330118	-0.128439602117721	3.00631625941796	#8F8FCE
C00008	metabolite	-1.61	26.9157279692157	-2.55893272409909	0.015441565698412	0.0274935194142458	-3.80946648870949	1.56076966305381	#8F8FCE
C00010	metabolite	-6.77	17.1350679114735	-6.0609212775287	9.17348291144892e-07	1.91269125919477e-05	5.55447992166977	4.71835512680972	#0000FF
C00013	metabolite	-2.26	26.9934267919484	-5.54746855165372	4.06438584921847e-06	5.23588529987556e-05	4.09312877193635	4.28100987590599	#8F8FCE
C00015	metabolite	-2.35	25.2556871298892	-3.45051103916072	0.00159441784258213	0.00401353456925847	-1.69362700284391	2.39647299201858	#8F8FCE
C00016	metabolite	-0.77	19.3503091114194	-1.67532954851776	0.103635710223429	0.147378055447603	-5.47226775184689	0.831567177993354	#BEBEBE
C00025	metabolite	-1.52	30.8281608449321	-5.09836408400258	1.50059036462846e-05	0.000106009448339881	2.81438041695883	3.97465542549931	#8F8FCE
C00365	metabolite	-4.49	19.5199025106382	-5.79553361855498	1.97756149881177e-06	2.7067873014986e-05	4.79994367723963	4.56754586961358	#3030EF
C02985	metabolite	-3	22.0749918479603	-6.3283443006385	4.2470040210472e-07	1.32870554372762e-05	6.31164059818115	4.87657125299491	#5F5FDF
C00022	metabolite	1.44	24.2042314604252	5.95976246355091	1.22891370306731e-06	2.07024693055185e-05	5.26716391873262	4.68397785059129	#CECE8F
C00106	metabolite	-3.11	26.6847361429881	-6.15439374833027	7.00508349867806e-07	1.70457031801166e-05	5.81956124384864	4.7683850782752	#5F5FDF
C00255	metabolite	-2.2	21.3571467415012	-6.5794750823488	2.07006936569496e-07	9.06690382174394e-06	7.01863282787418	5.04254099107578	#8F8FCE
C00148	metabolite	-1.4	30.504922302116	-5.86610421154077	1.61170928820386e-06	2.35309556077764e-05	5.00081221140813	4.62836043547774	#BEBEBE
C00267	metabolite	2.44	26.2285365734581	7.80116998732128	6.83198828167056e-09	7.48102716842927e-07	10.3759397237159	6.12603876805073	#CECE8F
C00073	metabolite	-1.82	27.1211388071707	-6.80042403712276	1.10472300746328e-07	6.21678655835481e-06	7.63667275291854	5.20643404305809	#8F8FCE
C00242	metabolite	-2.37	21.5899524306679	-6.45175440242584	2.98160362217758e-07	1.08828532209482e-05	6.65962091409656	4.9632572281982	#8F8FCE
C02291	metabolite	-7.05	19.3946416921986	-6.00247514225957	1.0861129735896e-06	1.98215617680102e-05	5.38852920889778	4.70286212984533	#0000FF
C02045	metabolite	2.86	22.6433199917051	9.24611253529239	1.51727243963958e-10	3.32282664281067e-08	14.1148490660048	7.47849231596915	#DFDF5F
C18170	metabolite	-1.41	30.5007513047856	-5.91665360823488	1.39220935036438e-06	2.17781319807e-05	5.14460447463002	4.66197937459248	#BEBEBE
ABCA8	gene	17.72	21.4299755258435	7.92789917885266	1.24908543271611e-08	1.50901416323846e-06	9.44479388099272	5.82130668402332	#FF0000
ACACB	gene	10.75	26.9101205901187	6.32280635603359	4.30248715947245e-07	1.57541998897054e-05	6.35073086515703	4.80260364849186	#DF5F5F
ADCY5	gene	10.8	17.4392716197181	6.44690543892414	3.0140493302307e-07	1.23332954045085e-05	6.67767607212724	4.90892086624494	#DF5F5F
AK7	gene	5.04	9.45765018925425	6.4879782141405	3.619592282973e-07	1.38535214123529e-05	6.49364845930316	4.85843981969935	#CE8F8F
ATP2B1	gene	4.47	29.300109886662	5.56743185928517	3.82699391886648e-06	7.89013722583637e-05	4.33632877949549	4.10291544344391	#CE8F8F
ATP5F1C	gene	-4.98	35.5145908998365	-6.08283890207119	8.58803078671345e-07	2.5893860567274e-05	5.71480324741485	4.58680319490803	#8FCE8F
AURKA	gene	-10.91	22.4657553850238	-7.95496622083028	4.47768214859873e-09	8.7383689315346e-07	10.5086690187934	6.05856962344571	#5FDF5F
AURKB	gene	-11.36	19.110751867865	-8.41537005073523	1.30402466495225e-09	4.9272710691249e-07	11.6156772359634	6.30739354477058	#5FDF5F
BMX	gene	8.87	10.6517360092266	6.99987731320407	7.46299407503003e-08	4.83705517439629e-06	7.9426935319135	5.31541895875602	#DF5F5F
BUB1	gene	-11.71	23.2108456851647	-8.19495221010283	2.34613642324084e-09	6.72016721618292e-07	11.0896899452837	6.17261992037445	#5FDF5F
BUB1B	gene	-10.3	22.8818797778098	-6.35519465228269	3.92041531516439e-07	1.4750562623306e-05	6.43619427847457	4.83119141429347	#5FDF5F
CDC7	gene	-7.02	22.3928395403597	-7.22987969417781	3.28964351559162e-08	2.75274927560342e-06	8.7028790562872	5.56023334297667	#8FCE8F
CDK1	gene	-11.01	26.4308815973481	-7.40531991643754	2.01937833822008e-08	2.06104252347416e-06	9.14644903418946	5.68591304775516	#5FDF5F
CDK16	gene	-4.9	33.6595194230777	-7.7688988717759	7.42645492654651e-09	1.13538172813153e-06	10.0523400616345	5.94485809922061	#8FCE8F
CDK8	gene	-3.66	22.7797538941252	-5.66800139771975	2.85697254953068e-06	6.27932865187071e-05	4.60630330419056	4.20208678594011	#BEBEBE
CHEK1	gene	-8.41	22.3466075602899	-7.02794112734948	5.79212685539687e-08	4.08184050892829e-06	8.18740037159511	5.3891439686169	#5FDF5F
CIT	gene	-6.87	22.5644595068823	-6.15712147166633	6.93117372435653e-07	2.2420895113087e-05	5.9121428536397	4.64934705298483	#8FCE8F
CPS1	gene	7.39	14.277831313104	5.99624855813181	1.10299520829125e-06	3.11416405469702e-05	5.48426759679283	4.50665851245739	#CE8F8F
CTPS1	gene	-7.25	27.9316816069705	-6.44312691304601	3.04683758414415e-07	1.24102726277101e-05	6.66774238348026	4.90621867785586	#8FCE8F
DCLK1	gene	14.01	23.4983488771372	6.54585818622552	2.6399229771037e-07	1.12315442897976e-05	6.79173185297	4.94956052598005	#EF3030
DTYMK	gene	-3.91	22.0385221715561	-5.81221224649778	1.87969290762112e-06	4.54169610155694e-05	4.99271975652241	4.34278192908423	#BEBEBE
FPGT-TNNI3K	gene	8.35	12.3429271838388	8.12706605499301	4.56240878524623e-09	8.80693669752041e-07	10.4262958091307	6.05517512526646	#DF5F5F
GRK3	gene	4.84	27.3637900609367	7.12685675350814	7.71755599825692e-08	4.96579989032771e-06	7.87071765711744	5.30401078544144	#CE8F8F
HASPIN	gene	-7.2	14.4941193473374	-7.2407051143341	3.19175914153776e-08	2.7367895887802e-06	8.73036619248439	5.56275859095099	#8FCE8F
MAP3K12	gene	7.54	24.5382039972411	6.10994404020333	7.94164932340333e-07	2.48302377349155e-05	5.78685846879147	4.60501912231142	#CE8F8F
MASTL	gene	-7.12	25.7924635272789	-9.56809667317983	6.69336974181284e-11	1.48584441556068e-07	14.2429889136739	6.8280266636582	#8FCE8F
MELK	gene	-12.39	21.5567779557519	-7.96924515247413	4.3079042648941e-09	8.59596312811846e-07	10.5434788394826	6.0657054560574	#30EF30
NEK2	gene	-11.86	20.6584343684322	-7.06414686974595	5.23184577353204e-08	3.87134787883981e-06	8.28019615563825	5.41213780127929	#5FDF5F
NEK5	gene	6.98	13.3985101369597	6.67451485612452	1.57401689936112e-07	7.96380801018634e-06	7.27345108442104	5.09887921839873	#CE8F8F
NME1	gene	-5.39	29.622975722958	-7.28442340616493	2.82556638720584e-08	2.58655842630869e-06	8.84121758037018	5.58727770711112	#8FCE8F
PBK	gene	-9.74	19.0958243550294	-5.76591786388201	2.14991265351011e-06	5.01712205173273e-05	4.86877724643372	4.29954533374417	#5FDF5F
PDK4	gene	19.91	25.5642142230377	8.41599940017558	1.30185116948985e-09	4.9272710691249e-07	11.6171684260548	6.30739354477058	#FF0000
PKMYT1	gene	-10.18	20.9440800681701	-7.29223351777043	2.76477691657068e-08	2.55706015381786e-06	8.86099448081271	5.59225905524943	#5FDF5F
PLK1	gene	-10.59	22.6244633360633	-6.75570481312236	1.24976221321297e-07	6.85653383857202e-06	7.48465993672784	5.16389537630651	#5FDF5F
PLK4	gene	-7.96	21.2516134305496	-6.67262791620821	1.58248903979816e-07	7.98392694823169e-06	7.2685338936065	5.09778344543374	#8FCE8F
PRKG1	gene	10.38	19.0491143043737	5.52025415452535	4.38979126439215e-06	8.69484776063918e-05	4.20957242216557	4.06073801772029	#DF5F5F
RRM2	gene	-10.65	26.4065875113057	-6.73538106511267	1.32398024605246e-07	7.14667634943634e-06	7.43185690671249	5.14589588528887	#5FDF5F
SLC17A7	gene	6.8	9.54827874770153	7.08309184021264	5.93344631196095e-08	4.13223815898488e-06	8.15093186652027	5.38381465613782	#CE8F8F
SLC27A1	gene	6.12	24.1684556632729	6.25021127339132	5.30101148035309e-07	1.83510064092769e-05	6.15884232806072	4.73634011310071	#CE8F8F
SRPK1	gene	-6.23	32.1108502471597	-8.7400169639246	5.55256141497839e-10	3.52171207745005e-07	12.3767570156834	6.45324615327677	#8FCE8F
STK32B	gene	10.17	15.6653966951651	6.88863269998742	1.44998128775388e-07	7.55138348657513e-06	7.30453729566145	5.12197347412683	#DF5F5F
TEK	gene	11.94	19.310413417103	6.69135053085231	1.50042677377205e-07	7.74595321959822e-06	7.31730641512119	5.11092513019162	#DF5F5F
TGFBR2	gene	9.47	35.0707226664201	7.62229201196611	1.10959931323956e-08	1.44966568732537e-06	9.68927810019927	5.83873214044775	#DF5F5F
TK1	gene	-9.85	24.2934717311549	-6.59187103583928	1.99177299369634e-07	9.38246594033246e-06	7.05773696924312	5.02768300346191	#5FDF5F
TK2	gene	4.61	26.7964316479319	7.22857709189367	3.30162506730969e-08	2.75274927560342e-06	8.6995705592672	5.56023334297667	#CE8F8F
TTK	gene	-10.76	20.5723381290312	-7.61281942541403	1.13886153612649e-08	1.45645436085516e-06	9.66571532040061	5.83670311978284	#5FDF5F
ALDH1A1	gene	14.49	22.0249272644376	5.71847283826536	2.46739469283329e-06	5.57486798346391e-05	4.74164852533915	4.25376541253666	#EF3030
CYP4F12	gene	10.04	12.1903435647249	6.23520134586736	9.80737602179005e-07	2.87882959952016e-05	5.5631187933727	4.54078404063711	#DF5F5F
GAPDH	gene	-6.76	50.5610182199266	-5.51756032529856	4.42432191763783e-06	8.73017032614781e-05	4.20233287992962	4.05897728310033	#8FCE8F
GLDC	gene	-14.89	17.4664337766298	-6.85033699866506	9.55837748258219e-08	5.81326115456086e-06	7.72991512486769	5.23558016638869	#30EF30
GLUD1	gene	4.87	33.8414404063629	6.00538583851166	1.07422987331366e-06	3.05725133336174e-05	5.50861851380895	4.51466885692149	#CE8F8F
GPD1	gene	16.24	19.1737242144956	6.36383675769878	3.82438007264221e-07	1.44812720064079e-05	6.4589825064355	4.83919328889155	#FF0000
GPD1L	gene	6.03	27.5485327908594	6.89538230722798	8.4155730672797e-08	5.26416925939706e-06	7.84629837090152	5.27867015525269	#CE8F8F
H6PD	gene	5.57	32.2177264357703	7.30686778176741	2.65441816552503e-08	2.50743681923186e-06	8.89803004642449	5.60077000124061	#CE8F8F
HSD17B10	gene	-4.14	28.5729260744923	-6.08170651180179	8.61615919815084e-07	2.5934639186434e-05	5.71179178577614	4.58611978971515	#8FCE8F
PDHA1	gene	-3.76	31.935650154341	-5.74091962048849	2.31171376508523e-06	5.3455370773631e-05	4.80180733560534	4.2720086537822	#BEBEBE
RDH5	gene	8.56	14.4489471015842	5.99553334811616	1.10527922230503e-06	3.1156593188754e-05	5.48236132470487	4.5064500362438	#DF5F5F
ME3	gene	5.02	21.9643170397477	6.12141582229252	1.14920939677294e-06	3.21398577595127e-05	5.43246361932501	4.4929560496136	#CE8F8F
NOS3	gene	5.68	18.8901985799809	5.5921833285174	3.56126102841134e-06	7.4579991021472e-05	4.40280468476122	4.12737767325851	#CE8F8F
TXN	gene	-4.94	33.8161958225067	-6.67738757318607	1.56120666744868e-07	7.9215626306346e-06	7.28093638858549	5.10118913975874	#8FCE8F
PNPT1	gene	-4.56	28.9530120643516	-5.5201021205857	4.39173289109372e-06	8.69484776063918e-05	4.2091638428318	4.06073801772029	#8FCE8F
CPT1A	gene	5.55	29.7345990293965	6.09812182161036	8.21732544618325e-07	2.51606004480635e-05	5.75543734415014	4.59927899883213	#CE8F8F
YOD1	gene	-5.81	25.7820811783035	-5.97387358653127	1.17675024360473e-06	3.27270251868019e-05	5.4246150808431	4.48509346929243	#8FCE8F
ZDHHC24	gene	4.07	21.9477344613149	5.79310931273089	1.98679773943569e-06	4.73497075719876e-05	4.94158894541035	4.32468269882046	#CE8F8F
HPRT1	gene	-4.73	26.0383334104624	-5.52582575109062	4.31922653400241e-06	8.60888260576305e-05	4.22454524473106	4.06505321435858	#8FCE8F
NPR1	gene	9.96	20.1817923424938	7.18733965627005	3.70469822182434e-08	2.97700161635196e-06	8.5947180702106	5.52622092955464	#DF5F5F
PDSS1	gene	-6.37	18.2462071084796	-7.25732314410875	3.04720849148967e-08	2.69230724379926e-06	8.77253193536496	5.56987538030518	#8FCE8F
POLE	gene	-3.14	30.147048905566	-5.97363119665073	1.17757582602435e-06	3.27270251868019e-05	5.42396868317768	4.48509346929243	#BEBEBE
POLK	gene	2.87	26.1241091484075	6.0234139330629	1.01966964742361e-06	2.93966124490193e-05	5.55664719979544	4.53170271310697	#BEBEBE
