ID	sim.cpd.data
C00232	-1.097597719
C01881	0.128915366
C02424	2.078510267
C07418	0.932992454
C13756	-0.00786048
C07378	-0.090233003
C06633	-1.001974369
C00251	2.662186436
C01059	-1.850789563
C02226	-0.135552037
C03037	-1.583274419
C10017	0.951442662
C05590	0.03897484
C04221	1.865462453
C03725	0.677275239
C08817	1.937436116
C12058	-0.617105152
C11718	-0.374217548
C00665	0.570834784
C06921	-1.038360322
C11306	-0.607816183
C00691	-1.161423849
C00540	0.414534051
C04378	-1.300438026
C01417	-0.298384582
C16361	-0.872472157
C07142	0.503475863
C03881	-0.933706157
C05299	1.012063553
C02850	-0.986409428
C11138	-0.085126901
C04835	-1.349651915
C02336	-2.290118973
C11507	0.755380598
C09665	-0.221443906
C16838	0.284760647
C01227	1.039633243
C08284	0.887648822
C03406	-0.152778602
C05472	0.681553171
C08153	-0.715741221
C01324	-2.007772175
C14591	0.271086252
C08585	0.912556434
C16314	0.962264542
C11849	-0.030385685
C12893	0.645030816
C04608	-1.739049478
C11993	-1.082000073
C00676	-0.198331785
C07663	-0.350924193
C07187	-0.063545605
C07569	-0.560988798
C00014	1.206117417
C05676	1.018094005
C06422	-0.47083113
C04540	-2.182182122
C14326	1.28150904
C11733	-1.973695778
C06832	1.547142067
C07185	2.71941037
C14196	-0.147224397
C04426	-1.352205056
C15233	-0.230804132
C06189	0.172579371
C00770	1.244247493
C01290	0.339000592
C01164	-1.274860665
C00431	-0.706926933
C04652	1.115965371
C00546	2.211773565
C02367	1.464892495
C11131	-0.335192055
C07733	1.091253704
C02766	-2.73892217
C05950	-0.267244581
C01673	-0.217044868
C08319	0.133144597
C11132	0.844509083
C03505	0.551589928
C02293	0.315249849
C07647	0.835607808
C15606	0.838311339
C09631	0.123735424
C03057	0.920340665
C07005	0.703446823
C12012	-0.49812239
C00548	-2.059360671
C09981	-1.015260021
C13690	-1.220890098
C03287	1.721759648
C06174	-0.462340245
C04315	0.698299578
C14807	0.766754268
C05528	-0.540568259
C01661	-1.15114396
C16312	0.65694649
C11525	-0.525134299
C08123	2.281105149
C01345	0.961341761
C02269	0.907353157
C01009	-1.843632423
C04237	0.316988871
C16737	0.571453538
C03946	0.387255308
C12369	0.13564261
