Feature	Gain	Cover	Frequency	Importance
C00073	0.408436034856726	0.0213675213675214	0.0144927536231884	0.408436034856726
C02045	0.255140896121024	0.1	0.072463768115942	0.255140896121024
C00255	0.190140231314547	0.0641025641025641	0.0434782608695652	0.190140231314547
C09642	0.0610896760852387	0.0854700854700855	0.188405797101449	0.0610896760852387
C03264	0.0412758648790405	0.0555555555555556	0.072463768115942	0.0412758648790405
C01250	0.0310645968827003	0.0358974358974359	0.0434782608695652	0.0310645968827003
C00519	0.00445262940650771	0.0213675213675214	0.0144927536231884	0.00445262940650771
C00022	0.00234531117141031	0.0213675213675214	0.0144927536231884	0.00234531117141031
C02630	0.00165366553753158	0.0452991452991453	0.0434782608695652	0.00165366553753158
C02918	0.00122286367600916	0.0128205128205128	0.0144927536231884	0.00122286367600916
C00013	0.000784493805728315	0.0213675213675214	0.0144927536231884	0.000784493805728315
C00365	0.000607017146901587	0.0641025641025641	0.0434782608695652	0.000607017146901587
C00673	0.000552060042776159	0.141025641025641	0.115942028985507	0.000552060042776159
C02291	0.000428390207642993	0.0427350427350427	0.0289855072463768	0.000428390207642993
C05581	0.000361719322970775	0.0102564102564103	0.0144927536231884	0.000361719322970775
C00408	0.000261656328474272	0.0606837606837607	0.0869565217391304	0.000261656328474272
C01879  	6.07592354762883e-05	0.0982905982905983	0.072463768115942	6.07592354762883e-05
C01180	4.45432548839458e-05	0.011965811965812	0.0144927536231884	4.45432548839458e-05
C08261	3.65123295692418e-05	0.011965811965812	0.0144927536231884	3.65123295692418e-05
C00429	2.38185174775103e-05	0.011965811965812	0.0144927536231884	2.38185174775103e-05
C00242	1.47551185490641e-05	0.0358974358974359	0.0289855072463768	1.47551185490641e-05
C00385	2.30189338681286e-06	0.0179487179487179	0.0144927536231884	2.30189338681286e-06
C06424	2.02865428149576e-07	0.00854700854700855	0.0144927536231884	2.02865428149576e-07
