pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Alanine, aspartate and glutamate metabolism	0.974669712923413	0.989176844404726	0.0103956629242703	0.160330546834613	0.528876284704292	11	c("C00042", "C00014", "C00049")
Amino sugar and nucleotide sugar metabolism	0.085380467345716	0.715061414020371	0.0482877623142723	0.278877346925698	1.40760336082598	38	c("C00159", "C00734", "C00645", "C00357", "C16698", "C00461", "C00031", "C01170", "C02280", "C03733")
Arachidonic acid metabolism	0.617093674939952	0.937642493330099	0.0152812732839652	-0.184198375420867	-0.884121435508189	32	c("C14795", "C05966", "C05955", "C00219", "C14775", "C14770")
Arginine and proline metabolism	0.324432044639299	0.929637099658127	0.0231359766112691	-0.248136141778246	-1.1015656324961	25	c("C01682", "C04281", "C00077", "C00750", "C05147", "C00581", "C05945", "C00431", "C01250", "C00406")
Arginine biosynthesis	0.989176844404726	0.989176844404726	0.0102408727476282	0.154790714265683	0.492137480891004	10	c("C00014", "C00437", "C00049")
Ascorbate and aldarate metabolism	0.832402234636871	0.937642493330099	0.0120579471269775	-0.160355020469348	-0.721866117303085	26	c("C01114", "C03921", "C00679", "C01115", "C00333", "C00558", "C01146")
Biosynthesis of unsaturated fatty acids	0.00908081929169609	0.608414892543638	0.152155221957771	-0.480754653104227	-1.87426705348883	17	c("C08323", "C02050", "C16166", "C00219", "C00412", "C16529", "C00154", "C16513", "C16522")
Biotin metabolism	0.482645450024863	0.937642493330099	0.0180239090692988	0.371409485637943	0.969374980433216	6	c("C00047", "C00120", "C01063", "C01092", "C05921", "C01037")
Butanoate metabolism	0.0201435979258077	0.639958571284722	0.101120163904282	0.482162103572839	1.73731760040414	14	c("C00246", "C06146", "C00132", "C03561", "C06142", "C00042")
Caffeine metabolism	0.838786673296867	0.937642493330099	0.0119470465333993	0.266500605909555	0.695563871222311	6	c("C16352", "C07481", "C13747", "C07130")
Citrate cycle (TCA cycle)	0.943934657658566	0.988181594736311	0.0108761553528402	-0.243465087718538	-0.592731628018681	5	c("C00417", "C00036", "C00026")
Cysteine and methionine metabolism	0.566540303272147	0.937642493330099	0.0162008996282805	-0.203835502293831	-0.917601096483898	26	c("C05527", "C03232", "C08276", "C02218", "C01005", "C03082", "C15651", "C00021", "C05324", "C04188", "C05528", "C01180", "C00197")
D-Amino acid metabolism	0.388505056573546	0.929637099658127	0.0207951578787034	-0.225070237458563	-1.0478723883419	29	c("C01726", "C04282", "C00819", "C03239", "C00077", "C02855")
Drug metabolism - cytochrome P450	0.24822695035461	0.929637099658127	0.0270864492241002	0.338734639489241	1.18887115474858	13	c("C07185", "C01516", "C16561", "C07647", "C07643", "C07572", "C01471")
Drug metabolism - other enzymes	0.215589391953212	0.929637099658127	0.029490235824964	-0.509406042038938	-1.24018221852554	5	c("C00003", "C00006", "C16633", "C11736")
