name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Alanine, aspartate and glutamate metabolism	28	2	31.1	7.67	2.4e-05	0.0013	45.9	4.19	294	1	Customised	Pyruvate, L-Glutamine	C00022, C00064	C00014, C00022, C00025, C00026, C00036, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00169, C00232, C00334, C00352, C00402, C00438, C00940, C01042, C02362, C03090, C03406, C03794, C03912, C12270, C20775, C20776	Ammonia, Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, L-Alanine, Succinate, L-Aspartate, L-Glutamine, Fumarate, L-Asparagine, Citrate, Carbamoyl phosphate, Succinate semialdehyde, 4-Aminobutanoate, D-Glucosamine 6-phosphate, D-Aspartate, N-Carbamoyl-L-aspartate, 2-Oxoglutaramate, N-Acetyl-L-aspartate, 2-Oxosuccinamate, 5-Phosphoribosylamine, N-(L-Arginino)succinate, N6-(1,2-Dicarboxyethyl)-AMP, (S)-1-Pyrroline-5-carboxylate, N-Acetylaspartylglutamate, beta-Citryl-L-glutamate, N-Acetylaspartylglutamylglutamate
Amino sugar and nucleotide sugar metabolism	118	1	3.69	1.43	0.027	0.062	4.16	0.0898	34.7	1	Customised	alpha-D-Glucose	C00267	C00029, C00031, C00043, C00052, C00096, C00103, C00128, C00140, C00159, C00167, C00181, C00190, C00191, C00203, C00216, C00259, C00267, C00270, C00275, C00325, C00329, C00333, C00352, C00357, C00394, C00446, C00461, C00498, C00501, C00617, C00636, C00645, C00668, C00714, C00734, C00935, C00976, C00984, C00996, C00999, C01019, C01050, C01132, C01170, C01219, C01222, C01623, C01674, C01788, C02199, C02280, C02336, C02352, C02474, C02713, C02977, C02985, C03117, C03410, C03598, C03599, C03691, C03733, C03906, C04037, C04089, C04257, C04297, C04501, C04573, C04613, C04630, C04631, C05345, C05385, C06023, C06156, C06240, C06241, C06377, C11521, C13952, C15925, C16153, C16154, C16155, C16156, C16157, C16183, C16698, C17269, C17326, C17327, C17328, C18060, C18094, C19725, C19745, C19769, C19823, C19961, C19971, C19972, C20082, C20083, C20357, C20359, C20395, C20418, C20419, C20424, C20638, C20672, C20934, C21027, C21383, C21384, C22029	UDP-glucose, D-Glucose, UDP-N-acetyl-alpha-D-glucosamine, UDP-alpha-D-galactose, GDP-mannose, D-Glucose 1-phosphate, CMP-N-acetylneuraminate, N-Acetyl-D-glucosamine, D-Mannose, UDP-glucuronate, D-Xylose, UDP-D-xylose, D-Glucuronate, UDP-N-acetyl-D-galactosamine, D-Arabinose, L-Arabinose, alpha-D-Glucose, N-Acetylneuraminate, D-Mannose 6-phosphate, GDP-L-fucose, D-Glucosamine, D-Galacturonate, D-Glucosamine 6-phosphate, N-Acetyl-D-glucosamine 6-phosphate, GDP-glucose, alpha-D-Galactose 1-phosphate, Chitin, ADP-glucose, CDP-glucose, UDP-D-galacturonate, D-Mannose 1-phosphate, N-Acetyl-D-mannosamine, alpha-D-Glucose 6-phosphate, Pectin, Chitosan, UDP-L-arabinose, GDP-D-mannuronate, alpha-D-Galactose, Ferricytochrome b5, Ferrocytochrome b5, 6-Deoxy-L-galactose, UDP-N-acetylmuramate, N-Acetyl-D-galactosamine, UDP-N-acetyl-D-mannosamine, CDP-4-dehydro-6-deoxy-D-glucose, GDP-4-dehydro-6-deoxy-D-mannose, UDP-apiose, Chitobiose, CDP-abequose, UDP-L-rhamnose, GDP-L-galactose, Fructose, 1,4-beta-D-Xylan, Arabinan, N-Acetylmuramate, GDP-6-deoxy-D-talose, L-Fucose 1-phosphate, GDP-6-deoxy-D-mannose, N-Glycoloyl-neuraminate, CDP-3,6-dideoxy-D-glucose, CDP-3,6-dideoxy-D-mannose, CMP-N-glycoloylneuraminate, UDP-alpha-D-galactofuranose, beta-L-Arabinose 1-phosphate, 1-Phospho-alpha-D-galacturonate, UDP-4-dehydro-6-deoxy-D-glucose, N-Acetyl-D-mannosamine 6-phosphate, CDP-4-dehydro-3,6-dideoxy-D-glucose, N-Acetyl-alpha-D-glucosamine 1-phosphate, UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate, UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose, UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose, UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine, beta-D-Fructose 6-phosphate, D-Glucuronate 1-phosphate, D-Glucosaminide, alpha-D-Glucosamine 1-phosphate, UDP-N-acetyl-D-mannosaminouronate, N-Acetylneuraminate 9-phosphate, D-Galactosamine 6-phosphate, UDP-6-sulfoquinovose, UDP-N-acetyl-D-galactosaminuronic acid, GDP-L-gulose, UDP-L-Ara4N, UDP-L-Ara4FN, UDP-L-Ara4O, Undecaprenyl phosphate alpha-L-Ara4FN, Undecaprenyl phosphate alpha-L-Ara4N, alpha-D-Arabinopyranose 1-phosphate, N-Acetylmuramic acid 6-phosphate, GDP-alpha-D-arabinopyranose, CDP-4-dehydro-3,6-dideoxy-D-glucose epimer, CDP-ascarylose, UDP-4-keto-rhamnose, N-Acetyl-alpha-D-galactosamine 1-phosphate, UDP-L-arabinofuranose, UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate, UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate, 1,6-Anhydro-N-acetyl-beta-muramate, UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose, UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine, UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose, 2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose, Pseudaminic acid, CMP-pseudaminic acid, UDP-N,N'-diacetylbacillosamine, UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate, UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate, N,N'-Diacetyllegionaminate, CMP-N,N'-diacetyllegionaminate, 2,4-Diacetamido-2,4,6-trideoxy-D-mannopyranose, GDP-4-amino-4,6-dideoxy-alpha-D-mannose, GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose, 3-Deoxy-D-glycero-D-galacto-non-2-ulosonic acid, N-Acetylmuramic acid alpha-1-phosphate, 2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate, CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate, alpha-D-Galactosamine 1-phosphate
Arginine and proline metabolism	69	2	12.6	4.68	0.00036	0.0059	17.7	1.66	111	1	Customised	Pyruvate, Creatinine	C00022, C00791	C00012, C00019, C00022, C00025, C00048, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00223, C00300, C00315, C00334, C00406, C00431, C00436, C00441, C00533, C00555, C00581, C00750, C00763, C00791, C00884, C00986, C01035, C01043, C01110, C01137, C01157, C01165, C01250, C01682, C02305, C02565, C02647, C02714, C02946, C03078, C03166, C03287, C03296, C03375, C03415, C03564, C03771, C03912, C04137, C04281, C05147, C05931, C05932, C05933, C05936, C05938, C05945, C05946, C05947, C10497, C15699, C15700, C15767, C18172, C18174, C18326, C19706	Peptide, S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, Glyoxylate, L-Arginine, L-Ornithine, Urea, Putrescine, L-Proline, Agmatine, Sarcosine, p-Coumaroyl-CoA, Creatine, Spermidine, 4-Aminobutanoate, Feruloyl-CoA, 5-Aminopentanoate, N-Carbamoylputrescine, L-Aspartate 4-semialdehyde, Nitric oxide, 4-Aminobutyraldehyde, Guanidinoacetate, Spermine, D-Proline, Creatinine, Homocarnosine, 1,3-Diaminopropane, 4-Guanidinobutanoate, N-Carbamoylsarcosine, 5-Amino-2-oxopentanoic acid, S-Adenosylmethioninamine, Hydroxyproline, L-Glutamate 5-semialdehyde, N-Acetyl-L-glutamate 5-semialdehyde, Nopaline, Phosphocreatine, N-Methylhydantoin, 4-Guanidinobutanal, N-Acetylputrescine, 4-Acetamidobutanoate, 4-Guanidinobutanamide, Phosphoguanidinoacetate, L-Glutamyl 5-phosphate, N2-Succinyl-L-arginine, Norspermidine, N2-Succinyl-L-ornithine, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, (S)-1-Pyrroline-5-carboxylate, D-Octopine, L-1-Pyrroline-3-hydroxy-5-carboxylate, trans-3-Hydroxy-L-proline, N-Succinyl-L-glutamate, N-Succinyl-L-glutamate 5-semialdehyde, N(omega)-Hydroxyarginine, N4-Acetylaminobutanal, L-4-Hydroxyglutamate semialdehyde, L-Arginine phosphate, (4R)-4-Hydroxy-2-oxoglutarate, L-erythro-4-Hydroxyglutamate, Feruloylputrescine, gamma-L-Glutamylputrescine, gamma-Glutamyl-gamma-aminobutyraldehyde, 4-(L-gamma-Glutamylamino)butanoate, Carboxyspermidine, Carboxynorspermidine, p-Coumaroylputrescine, cis-3-Hydroxy-L-proline
Arginine biosynthesis	23	1	18.9	4.14	0.0011	0.0099	22.7	0.476	200	1	Customised	L-Glutamine	C00064	C00011, C00014, C00025, C00026, C00049, C00062, C00064, C00077, C00086, C00122, C00169, C00327, C00437, C00624, C01010, C01250, C03406, C04133, C15532, C20948, C20949, C20950, C20951	CO2, Ammonia, L-Glutamate, 2-Oxoglutarate, L-Aspartate, L-Arginine, L-Glutamine, L-Ornithine, Urea, Fumarate, Carbamoyl phosphate, L-Citrulline, N-Acetylornithine, N-Acetyl-L-glutamate, Urea-1-carboxylate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate, N-Acetyl-L-glutamate 5-phosphate, N-Acetyl-L-citrulline, LysW-L-glutamate, LysW-L-glutamyl 5-phosphate, LysW-L-glutamate 5-semialdehyde, LysW-L-ornithine
Ascorbate and aldarate metabolism	57	1	7.64	2.43	0.0068	0.02	8.86	0.19	74.9	1	Customised	Pyruvate	C00022	C00022, C00026, C00029, C00072, C00096, C00137, C00167, C00191, C00216, C00231, C00259, C00333, C00433, C00545, C00558, C00617, C00618, C00652, C00679, C00684, C00800, C00818, C00878, C00879, C01040, C01041, C01101, C01114, C01115, C01146, C01620, C01825, C02280, C02670, C03033, C03064, C03289, C03291, C03826, C03921, C04037, C04575, C05385, C05411, C05412, C05422, C06316, C14899, C15923, C15924, C15925, C15926, C15930, C16186, C20889, C20896, C21955	Pyruvate, 2-Oxoglutarate, UDP-glucose, Ascorbate, GDP-mannose, myo-Inositol, UDP-glucuronate, D-Glucuronate, D-Arabinose, D-Xylulose 5-phosphate, L-Arabinose, D-Galacturonate, 2,5-Dioxopentanoate, L-Arabinonate, D-Tagaturonate, UDP-D-galacturonate, 3-Dehydro-L-gulonate, D-Arabinono-1,4-lactone, 5-Dehydro-4-deoxy-D-glucarate, 2-Dehydro-3-deoxy-L-arabinonate, L-Gulonate, D-Glucarate, D-Arabinonate, D-Galactarate, L-Gulono-1,4-lactone, Monodehydroascorbate, L-Ribulose 5-phosphate, L-Arabinono-1,4-lactone, L-Galactono-1,4-lactone, 2-Hydroxy-3-oxopropanoate, Threonate, L-Galactose, GDP-L-galactose, D-Glucuronolactone, beta-D-Glucuronoside, 3-Dehydro-L-threonate, L-xylo-Hexulonolactone, L-Xylulose 5-phosphate, 2-Dehydro-3-deoxy-D-xylonate, 2-Dehydro-3-deoxy-D-glucarate, 1-Phospho-alpha-D-galacturonate, (4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate, D-Glucuronate 1-phosphate, L-Xylonate, L-Lyxonate, Dehydroascorbate, Dehydro-D-arabinono-1,4-lactone, 3-Dehydro-L-gulonate 6-phosphate, L-Gulose, L-Gulose 1-phosphate, GDP-L-gulose, beta-L-Galactose 1-phosphate, L-Galactonate, L-Ascorbate 6-phosphate, D-Galactaro-1,5-lactone, D-Galactaro-1,4-lactone, L-Galactono-1,5-lactone
Butanoate metabolism	47	1	9.26	2.74	0.0047	0.019	10.8	0.231	92	1	Customised	Pyruvate	C00022	C00022, C00024, C00025, C00026, C00042, C00091, C00122, C00132, C00136, C00164, C00207, C00232, C00246, C00332, C00334, C00356, C00497, C00741, C00810, C00877, C00989, C01089, C01144, C01384, C01412, C01769, C01845, C02331, C02411, C02527, C02630, C03044, C03046, C03058, C03561, C04546, C06010, C06142, C06143, C06144, C06145, C06146, C11062, C17530, C20657, C20783, C21390	Pyruvate, Acetyl-CoA, L-Glutamate, 2-Oxoglutarate, Succinate, Succinyl-CoA, Fumarate, Methanol, Butanoyl-CoA, Acetoacetate, Acetone, Succinate semialdehyde, Butanoic acid, Acetoacetyl-CoA, 4-Aminobutanoate, (S)-3-Hydroxy-3-methylglutaryl-CoA, (R)-Malate, Diacetyl, (R)-Acetoin, Crotonoyl-CoA, 4-Hydroxybutanoic acid, (R)-3-Hydroxybutanoate, (S)-3-Hydroxybutanoyl-CoA, Maleic acid, Butanal, (S)-Acetoin, Propan-2-ol, Vinylacetyl-CoA, Glutaconyl-1-CoA, Butanoylphosphate, 2-Hydroxyglutarate, (R,R)-Butane-2,3-diol, (S,S)-Butane-2,3-diol, 2-Hydroxyglutaryl-CoA, (R)-3-Hydroxybutanoyl-CoA, (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate, (S)-2-Acetolactate, 1-Butanol, Poly-beta-hydroxybutyrate, 3-Butynoate, 3-Butyn-1-al, 3-Butyn-1-ol, 4-Hydroxybutyryl-CoA, Methyl acetate, meso-2,3-Butanediol, Propane, Butane
Citrate cycle (TCA cycle)	20	1	21.8	4.47	0.00084	0.0098	26.3	0.548	233	1	Customised	Pyruvate	C00022	C00022, C00024, C00026, C00036, C00042, C00068, C00074, C00091, C00122, C00149, C00158, C00311, C00417, C05125, C05379, C05381, C15972, C15973, C16254, C16255	Pyruvate, Acetyl-CoA, 2-Oxoglutarate, Oxaloacetate, Succinate, Thiamin diphosphate, Phosphoenolpyruvate, Succinyl-CoA, Fumarate, (S)-Malate, Citrate, Isocitrate, cis-Aconitate, 2-(alpha-Hydroxyethyl)thiamine diphosphate, Oxalosuccinate, 3-Carboxy-1-hydroxypropyl-ThPP, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
Cysteine and methionine metabolism	66	1	6.6	2.2	0.009	0.024	7.61	0.163	64.2	1	Customised	Pyruvate	C00022	C00019, C00021, C00022, C00041, C00049, C00051, C00059, C00065, C00073, C00094, C00097, C00109, C00155, C00170, C00197, C00263, C00283, C00409, C00441, C00491, C00506, C00606, C00793, C00957, C00979, C01005, C01077, C01118, C01137, C01180, C01234, C01817, C01962, C02218, C02291, C02356, C02989, C03082, C03089, C03145, C03232, C03539, C04188, C04582, C05324, C05524, C05526, C05527, C05528, C05823, C05824, C06547, C08276, C09306, C11437, C11481, C11499, C11537, C15606, C15650, C15651, C18049, C19787, C21015, C21016, C22359	S-Adenosyl-L-methionine, S-Adenosyl-L-homocysteine, Pyruvate, L-Alanine, L-Aspartate, Glutathione, Sulfate, L-Serine, L-Methionine, Sulfite, L-Cysteine, 2-Oxobutanoate, L-Homocysteine, 5'-Methylthioadenosine, 3-Phospho-D-glycerate, L-Homoserine, Hydrogen sulfide, Methanethiol, L-Aspartate 4-semialdehyde, L-Cystine, L-Cysteate, 3-Sulfino-L-alanine, D-Cysteine, Mercaptopyruvate, O-Acetyl-L-serine, O-Phospho-L-serine, O-Acetyl-L-homoserine, O-Succinyl-L-homoserine, S-Adenosylmethioninamine, 4-Methylthio-2-oxobutanoic acid, 1-Aminocyclopropane-1-carboxylate, L-Homocystine, Thiocysteine, Dehydroalanine, L-Cystathionine, (S)-2-Aminobutanoate, L-Methionine S-oxide, 4-Phospho-L-aspartate, 5-Methylthio-D-ribose, N-Formylmethionine, 3-Phosphonooxypyruvate, S-Ribosyl-L-homocysteine, S-Methyl-5-thio-D-ribose 1-phosphate, S-Methyl-5-thio-D-ribulose 1-phosphate, Nicotianamine, Aminoacyl-L-methionine, S-Glutathionyl-L-cysteine, 3-Sulfinylpyruvate, 3-Sulfopyruvate, 3-Mercaptolactate, S-Sulfo-L-cysteine, Ethylene, 3-(Methylthio)propanoate, Sulfur dioxide, 1-Deoxy-D-xylulose 5-phosphate, HSO3-, (S)-3-Sulfolactate, (2R)-3-Sulfolactate, 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one, 2,3-Diketo-5-methylthiopentyl-1-phosphate, 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate, N-Acyl-L-homoserine lactone, 5'-S-Methyl-5'-thioinosine, gamma-L-Glutamyl-L-2-aminobutyrate, Ophthalmate, S-Methyl-1-thio-D-xylulose 5-phosphate
D-Amino acid metabolism	69	2	12.6	4.68	0.00036	0.0059	17.7	1.66	111	1	Customised	Pyruvate, L-Glutamine	C00022, C00064	C00022, C00025, C00026, C00036, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00084, C00097, C00133, C00134, C00135, C00148, C00166, C00188, C00217, C00402, C00431, C00433, C00515, C00624, C00666, C00680, C00692, C00739, C00740, C00763, C00792, C00793, C00819, C00820, C00855, C00993, C01110, C01157, C01180, C01667, C01672, C01726, C02237, C02265, C02855, C03239, C03341, C03440, C03564, C03771, C03933, C03943, C04260, C04282, C04457, C05161, C05620, C05825, C05939, C05941, C05942, C06419, C22024, C22025, C22611	Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, Glycine, L-Alanine, L-Lysine, L-Aspartate, L-Arginine, L-Glutamine, L-Serine, L-Methionine, L-Ornithine, L-Phenylalanine, Acetaldehyde, L-Cysteine, D-Alanine, Putrescine, L-Histidine, L-Proline, Phenylpyruvate, L-Threonine, D-Glutamate, D-Aspartate, 5-Aminopentanoate, 2,5-Dioxopentanoate, D-Ornithine, N-Acetyl-L-glutamate, LL-2,6-Diaminoheptanedioate, meso-2,6-Diaminoheptanedioate, UDP-N-acetylmuramoyl-L-alanyl-D-glutamate, D-Lysine, D-Serine, D-Proline, D-Arginine, D-Cysteine, D-Glutamine, D-Threonine, D-Methionine, D-Alanyl-D-alanine, 5-Amino-2-oxopentanoic acid, Hydroxyproline, 4-Methylthio-2-oxobutanoic acid, Bacitracin, Cadaverine, D-Lombricine, 5-Oxo-D-proline, D-Phenylalanine, N-Phospho-D-lombricine, 6-Amino-2-oxohexanoate, 2-Amino-4-oxopentanoic acid, cis-4-Hydroxy-D-proline, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, 5-D-Glutamyl-D-glutamyl-peptide, (2R,4S)-2,4-Diaminopentanoate, O-D-Alanyl-poly(ribitol phosphate), 1-Pyrroline-4-hydroxy-2-carboxylate, D-Alanyl-alanyl-poly(glycerolphosphate), (2R,5S)-2,5-Diaminohexanoate, N-Acetyl-D-phenylalanine, 2-Amino-5-oxohexanoate, Linatine, 2-Oxo-4-hydroxy-5-aminovalerate, Pyrrole-2-carboxylate, D-Histidine, Staphylopine, (2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate, C22611
Fatty acid biosynthesis	58	1	7.5	2.4	0.007	0.02	8.7	0.186	73.5	1	Customised	Dodecanoic acid	C02679	C00024, C00083, C00154, C00173, C00229, C00249, C00383, C00638, C00685, C00693, C00712, C01203, C01209, C01271, C01530, C01571, C02679, C02843, C03939, C04088, C04180, C04246, C04618, C04619, C04620, C04633, C04688, C05223, C05744, C05745, C05746, C05747, C05748, C05749, C05750, C05751, C05752, C05753, C05754, C05755, C05756, C05757, C05758, C05759, C05760, C05761, C05762, C05763, C05764, C06423, C06424, C08362, C16219, C16220, C16221, C16520, C20683, C20794	Acetyl-CoA, Malonyl-CoA, Palmitoyl-CoA, Acyl-[acyl-carrier protein], Acyl-carrier protein, Hexadecanoic acid, Malonate, Long-chain fatty acid, 3-Oxoacyl-[acyl-carrier protein], trans-2,3-Dehydroacyl-[acyl-carrier protein], (9Z)-Octadecenoic acid, Oleoyl-[acyl-carrier protein], Malonyl-[acyl-carrier protein], (3R)-3-Hydroxyacyl-[acyl-carrier protein], Octadecanoic acid, Decanoic acid, Dodecanoic acid, Long-chain acyl-CoA, Acetyl-[acyl-carrier protein], Octadecanoyl-[acyl-carrier protein], cis-Dec-3-enoyl-[acp], But-2-enoyl-[acyl-carrier protein], (3R)-3-Hydroxybutanoyl-[acyl-carrier protein], (3R)-3-Hydroxydecanoyl-[acyl-carrier protein], (3R)-3-Hydroxyoctanoyl-[acyl-carrier protein], (3R)-3-Hydroxypalmitoyl-[acyl-carrier protein], (3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein], Dodecanoyl-[acyl-carrier protein], Acetoacetyl-[acp], Butyryl-[acp], 3-Oxohexanoyl-[acp], (R)-3-Hydroxyhexanoyl-[acp], trans-Hex-2-enoyl-[acp], Hexanoyl-[acp], 3-Oxooctanoyl-[acp], trans-Oct-2-enoyl-[acp], Octanoyl-[acp], 3-Oxodecanoyl-[acp], trans-Dec-2-enoyl-[acp], Decanoyl-[acp], 3-Oxododecanoyl-[acp], (R)-3-Hydroxydodecanoyl-[acp], trans-Dodec-2-enoyl-[acp], 3-Oxotetradecanoyl-[acp], trans-Tetradec-2-enoyl-[acp], Tetradecanoyl-[acp], 3-Oxohexadecanoyl-[acp], trans-Hexadec-2-enoyl-[acp], Hexadecanoyl-[acp], Octanoic acid, Tetradecanoic acid, (9Z)-Hexadecenoic acid, 3-Oxostearoyl-[acp], (R)-3-Hydroxyoctadecanoyl-[acp], (2E)-Octadecenoyl-[acp], Hexadecenoyl-[acyl-carrier protein], Long-chain acyl-[acyl-carrier protein], n-7 Unsaturated acyl-[acyl-carrier protein]
