gene_id	beta	HR (95% CI for HR)	wald.test	p.value
c(beta = "1.2e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.31", 	1.2e-06	1 (1-1)	0.31	0.58
c(beta = "4.8e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.1", 	4.8e-07	1 (1-1)	0.1	0.75
c(beta = "-1.7e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.11", 	-1.7e-07	1 (1-1)	0.11	0.74
c(beta = "-3.1e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.07", 	-3.1e-08	1 (1-1)	0.07	0.79
c(beta = "6.3e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.12", 	6.3e-07	1 (1-1)	0.12	0.73
c(beta = "-5.1e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.22", 	-5.1e-06	1 (1-1)	0.22	0.64
c(beta = "7e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.12", 	7e-08	1 (1-1)	0.12	0.73
c(beta = "-3.1e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "1.1", 	-3.1e-06	1 (1-1)	1.1	0.3
c(beta = "3.2e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "1.6", 	3.2e-07	1 (1-1)	1.6	0.2
c(beta = "2.2e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	2.2e-09	1 (1-1)	0.01	0.93
c(beta = "2.4e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	2.4e-08	1 (1-1)	0	0.97
c(beta = "-4.1e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.06", 	-4.1e-08	1 (1-1)	0.06	0.81
c(beta = "-1.5e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.02", 	-1.5e-08	1 (1-1)	0.02	0.89
c(beta = "2.2e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.24", 	2.2e-07	1 (1-1)	0.24	0.63
c(beta = "1.4e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.64", 	1.4e-07	1 (1-1)	0.64	0.42
c(beta = "2.6e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.04", 	2.6e-07	1 (1-1)	0.04	0.84
c(beta = "-5.5e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.28", 	-5.5e-08	1 (1-1)	0.28	0.6
c(beta = "-5.2e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.34", 	-5.2e-07	1 (1-1)	0.34	0.56
c(beta = "-3.3e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.5", 	-3.3e-07	1 (1-1)	0.5	0.48
c(beta = "-1.5e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.3", 	-1.5e-06	1 (1-1)	0.3	0.58
c(beta = "-4.2e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "1.5", 	-4.2e-08	1 (1-1)	1.5	0.22
c(beta = "4.6e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.95", 	4.6e-07	1 (1-1)	0.95	0.33
c(beta = "-6e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.78", 	-6e-07	1 (1-1)	0.78	0.38
c(beta = "3.1e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.34", 	3.1e-08	1 (1-1)	0.34	0.56
c(beta = "-1.1e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.74", 	-1.1e-07	1 (1-1)	0.74	0.39
c(beta = "-3.8e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.65", 	-3.8e-06	1 (1-1)	0.65	0.42
c(beta = "-5.8e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.24", 	-5.8e-09	1 (1-1)	0.24	0.62
c(beta = "-3.7e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.1", 	-3.7e-08	1 (1-1)	0.1	0.75
c(beta = "-8.2e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	-8.2e-09	1 (1-1)	0.01	0.91
c(beta = "1.6e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "4.2", 	1.6e-07	1 (1-1)	4.2	0.041
c(beta = "-1.8e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.22", 	-1.8e-06	1 (1-1)	0.22	0.64
c(beta = "8.2e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.24", 	8.2e-09	1 (1-1)	0.24	0.63
c(beta = "2.9e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "2.3", 	2.9e-07	1 (1-1)	2.3	0.13
c(beta = "-1.3e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.88", 	-1.3e-08	1 (1-1)	0.88	0.35
c(beta = "1.1e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0", 	1.1e-07	1 (1-1)	0	0.96
c(beta = "-9.1e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.2", 	-9.1e-08	1 (1-1)	0.2	0.66
c(beta = "-2.9e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.26", 	-2.9e-07	1 (1-1)	0.26	0.61
c(beta = "2.2e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "1.3", 	2.2e-07	1 (1-1)	1.3	0.26
c(beta = "-7.3e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.04", 	-7.3e-07	1 (1-1)	0.04	0.84
c(beta = "-1.1e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.02", 	-1.1e-07	1 (1-1)	0.02	0.89
c(beta = "-3.2e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.27", 	-3.2e-07	1 (1-1)	0.27	0.61
c(beta = "-1.5e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.12", 	-1.5e-07	1 (1-1)	0.12	0.72
c(beta = "4.3e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	4.3e-08	1 (1-1)	0.01	0.93
c(beta = "-7.9e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.03", 	-7.9e-08	1 (1-1)	0.03	0.86
c(beta = "-2.1e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.93", 	-2.1e-08	1 (1-1)	0.93	0.34
c(beta = "1.9e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.21", 	1.9e-07	1 (1-1)	0.21	0.64
c(beta = "3.8e-10", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.01", 	3.8e-10	1 (1-1)	0.01	0.93
c(beta = "-3.7e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.28", 	-3.7e-07	1 (1-1)	0.28	0.6
c(beta = "-1.1e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.34", 	-1.1e-08	1 (1-1)	0.34	0.56
c(beta = "-1.8e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.07", 	-1.8e-09	1 (1-1)	0.07	0.8
c(beta = "5.9e-09", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.02", 	5.9e-09	1 (1-1)	0.02	0.9
c(beta = "1.5e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.08", 	1.5e-07	1 (1-1)	0.08	0.77
c(beta = "-3.6e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.75", 	-3.6e-07	1 (1-1)	0.75	0.39
c(beta = "-5.4e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "1", 	-5.4e-07	1 (1-1)	1	0.31
c(beta = "-2.1e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.9", 	-2.1e-06	1 (1-1)	0.9	0.34
c(beta = "-3.9e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.49", 	-3.9e-07	1 (1-1)	0.49	0.49
c(beta = "-3.8e-07", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.3", 	-3.8e-07	1 (1-1)	0.3	0.58
c(beta = "-7e-08", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.7", 	-7e-08	1 (1-1)	0.7	0.4
c(beta = "-1.6e-06", "HR (95% CI for HR)" = "1 (1-1)", wald.test = "0.81", 	-1.6e-06	1 (1-1)	0.81	0.37
