name1	name2	cor_result	p	type1	type2
C05100	C00408	0.993850267984603	0	metabolite	metabolite
C00408	C00064	0.993841469015844	0	metabolite	metabolite
C06178 	C00047	0.998077361272803	0	metabolite	metabolite
C02220	C01042	0.974549817881647	0	metabolite	metabolite
C00881	C00380	0.954387475237147	0	metabolite	metabolite
C02630	C00490	0.951942522012956	2.22044604925031e-16	metabolite	metabolite
C00632	C00299	0.98430965833884	0	metabolite	metabolite
C05100	C00064	0.99999994326331	0	metabolite	metabolite
C05635	C00328	0.999731652893044	0	metabolite	metabolite
C18170	C00148	0.999975724250712	0	metabolite	metabolite
C06192	C00096	0.951979585834624	2.22044604925031e-16	metabolite	metabolite
C06192	C00190	0.957048689137025	0	metabolite	metabolite
C02045	C00267	0.952110541447508	2.22044604925031e-16	metabolite	metabolite
C00075	C00002	0.957534336750972	0	metabolite	metabolite
C05851	C00180	0.999126268672495	0	metabolite	metabolite
C00180	C00079	0.954325301753521	0	metabolite	metabolite
C00180	C00082	0.996822689659259	0	metabolite	metabolite
C00601	C00180	0.991101569029243	0	metabolite	metabolite
C00475	C00120	0.980823509466748	0	metabolite	metabolite
C00570	C00307	0.965548788161959	0	metabolite	metabolite
C05851	C00079	0.955413286784442	0	metabolite	metabolite
C05851	C00082	0.996313559002714	0	metabolite	metabolite
C05851	C00601	0.991968617639064	0	metabolite	metabolite
C00149	C00122	0.99607859041409	0	metabolite	metabolite
C00035	C00015	0.968356208446962	0	metabolite	metabolite
C00190	C00096	0.95057420912575	4.44089209850063e-16	metabolite	metabolite
C00096	C00043	0.957442880847608	0	metabolite	metabolite
C01419	C00051	0.969855156980647	0	metabolite	metabolite
C00144 	C00105	0.956894999867796	0	metabolite	metabolite
C00387 	C00294	0.961917682919292	0	metabolite	metabolite
C05938 	C00025	0.999978780000782	0	metabolite	metabolite
C02642	C00152	0.999998728903353	0	metabolite	metabolite
C00407	C00079	0.982511837843205	0	metabolite	metabolite
C00082	C00079	0.952447723013034	0	metabolite	metabolite
C00601	C00082	0.990224985174724	0	metabolite	metabolite
C00190	C00043	0.964582109488065	0	metabolite	metabolite
PDE2A	ABCA8	0.952191148909375	2.22044604925031e-14	gene	gene
ACVRL1	ABCC9	0.961113046270911	0	gene	gene
KCNJ8	ABCC9	0.971849910610803	0	gene	gene
MECOM	ABCC9	0.969546407530656	0	gene	gene
PDE1A	ABCC9	0.959904538161265	2.22044604925031e-16	gene	gene
PRKG1	ABCC9	0.961226738866665	0	gene	gene
PTPRB	ABCC9	0.970381138185122	0	gene	gene
S1PR1	ABCC9	0.952818084191382	1.77635683940025e-15	gene	gene
TEK	ABCC9	0.959672500778562	2.22044604925031e-16	gene	gene
AKT3	ACVRL1	0.951247822931255	2.22044604925031e-16	gene	gene
DCN	ACVRL1	0.964138231840498	0	gene	gene
GNG11	ACVRL1	0.970232613881958	0	gene	gene
GNG2	ACVRL1	0.95486371310894	2.22044604925031e-16	gene	gene
HSD17B11	ACVRL1	0.951052393619725	2.66453525910038e-15	gene	gene
PRKG1	ACVRL1	0.951376216603246	2.22044604925031e-16	gene	gene
PTPRB	ACVRL1	0.968462756267321	0	gene	gene
S1PR1	ACVRL1	0.9702328508529	0	gene	gene
TEK	ACVRL1	0.953666484348884	0	gene	gene
AOC3	ADRA2A	0.952913709458007	5.32907051820075e-15	gene	gene
DCN	ADRA2A	0.951056115654537	8.88178419700125e-15	gene	gene
GNG11	ADRA2A	0.955833980016997	2.44249065417534e-15	gene	gene
PDE1A	ADRA2A	0.96654772064911	2.22044604925031e-16	gene	gene
PTGER3	ADRA2A	0.951505499251568	7.99360577730113e-15	gene	gene
PTPRB	ADRA2A	0.959100848243817	8.88178419700125e-16	gene	gene
S1PR1	ADRA2A	0.96749757213259	0	gene	gene
TEK	ADRA2A	0.965889521874855	0	gene	gene
AKR1C2	AKR1C1	0.950809204278736	2.22044604925031e-16	gene	gene
EEF1AKMT4	ALG3	0.961716514881203	0	gene	gene
SLCO2B1	ALOX5AP	0.954072734368987	3.99680288865056e-15	gene	gene
ST8SIA4	ALOX5AP	0.962209698917807	4.44089209850063e-16	gene	gene
TPP1	ALOX5AP	0.957248976131375	1.55431223447522e-15	gene	gene
FMOD	AOC3	0.950541614179332	4.44089209850063e-16	gene	gene
MECOM	AOC3	0.959152756986597	0	gene	gene
PDE1A	AOC3	0.961269811854262	0	gene	gene
PTPRB	AOC3	0.968549899246496	0	gene	gene
S1PR1	AOC3	0.960898990566963	0	gene	gene
TEK	AOC3	0.950450234671531	4.44089209850063e-16	gene	gene
PLIN1	AQP7	0.964569739530711	1.25233157177718e-13	gene	gene
PDE2A	ASPA	0.958164413501248	1.33226762955019e-15	gene	gene
NUDT5	ATP5F1C	0.953768502283689	0	gene	gene
BUB1	AURKA	0.969136483091659	0	gene	gene
BUB1B	AURKA	0.954258388897628	0	gene	gene
CDC25C	AURKA	0.975790290583536	0	gene	gene
CDK1	AURKA	0.961536056325536	0	gene	gene
MELK	AURKA	0.955317226131535	0	gene	gene
BUB1B	AURKB	0.960827891600734	0	gene	gene
MELK	AURKB	0.956965856060067	0	gene	gene
TTK	AURKB	0.958656100395471	0	gene	gene
PDGFRB	AXL	0.950798325554722	2.22044604925031e-16	gene	gene
INPP5D	BTK	0.956891895240742	0	gene	gene
PIK3R5	BTK	0.953516859903956	0	gene	gene
PTPN7	BTK	0.966641526399941	0	gene	gene
PTPRC	BTK	0.96062869993575	0	gene	gene
ST8SIA4	BTK	0.953615971566648	1.33226762955019e-15	gene	gene
TNFAIP8	BTK	0.95955954430435	0	gene	gene
BUB1B	BUB1	0.962484124139766	0	gene	gene
CDC25A	BUB1	0.955137066985912	0	gene	gene
CDC25C	BUB1	0.971137294877924	0	gene	gene
CDK1	BUB1	0.956820989339462	0	gene	gene
HMMR	BUB1	0.966707266311414	0	gene	gene
MELK	BUB1	0.970313456276703	0	gene	gene
NEK2	BUB1	0.958769496924188	0	gene	gene
PLK1	BUB1	0.969127947565906	0	gene	gene
TTK	BUB1	0.960843938978504	0	gene	gene
CDC25C	BUB1B	0.96273568989746	0	gene	gene
MELK	BUB1B	0.966637295108914	0	gene	gene
TTK	BUB1B	0.967532967663184	0	gene	gene
CDK1	CDC25C	0.953667081677605	0	gene	gene
MELK	CDC25C	0.967404818577584	0	gene	gene
EZH2	CDK1	0.953257115913092	0	gene	gene
NEK2	CDK1	0.955574622329878	0	gene	gene
CIDEC	CIDEA	0.963120394145602	4.00512956133525e-11	gene	gene
GPD1	CIDEC	0.955214484466375	4.86788387377146e-12	gene	gene
LIPE	CIDEC	0.981349054892889	8.88178419700125e-16	gene	gene
PLIN1	CIDEC	0.973511776965819	2.75335310107039e-14	gene	gene
CYBB	CSF1R	0.964272226196915	0	gene	gene
PIK3CG	CYBB	0.953104310521498	4.44089209850063e-16	gene	gene
PIK3R5	CYBB	0.953425586602646	0	gene	gene
PTPRC	CYBB	0.961813039764257	0	gene	gene
PTPRO	CYBB	0.964176501420443	0	gene	gene
SLC7A7	CYBB	0.968540500565548	0	gene	gene
GNG11	DCN	0.960669521964406	4.44089209850063e-16	gene	gene
PRKG1	DCN	0.951234806362609	2.66453525910038e-15	gene	gene
PBK	ESCO2	0.961133002203297	0	gene	gene
FOLR2	F13A1	0.953946895690446	1.61426427780498e-13	gene	gene
PRKG1	FMOD	0.950880669162572	2.22044604925031e-16	gene	gene
PTGER3	FMOD	0.954299799614019	0	gene	gene
TPI1	GAPDH	0.959447657318193	0	gene	gene
MSRB3	GLT8D2	0.970394325097185	0	gene	gene
KCNJ8	GNG11	0.953070570907513	5.32907051820075e-15	gene	gene
MECOM	GNG11	0.955452029565374	2.66453525910038e-15	gene	gene
PDE1A	GNG11	0.955911633489291	8.21565038222616e-15	gene	gene
PRKG1	GNG11	0.955736355309239	2.44249065417534e-15	gene	gene
PTPRB	GNG11	0.966051831580472	0	gene	gene
S1PR1	GNG11	0.963180644276688	2.22044604925031e-16	gene	gene
TEK	GNG11	0.961576148762606	4.44089209850063e-16	gene	gene
HSD17B11	GNG2	0.952755602172193	1.77635683940025e-15	gene	gene
PTGER4	GNG2	0.968237725874868	0	gene	gene
INPP5D	HCST	0.954707374307941	8.88178419700125e-16	gene	gene
PIK3R5	HCST	0.95672565169136	4.44089209850063e-16	gene	gene
PTGER4	HSD17B11	0.959148419821075	8.88178419700125e-16	gene	gene
PIK3CG	INPP5D	0.965972046815754	0	gene	gene
PIK3R5	INPP5D	0.959724835609238	0	gene	gene
PTGER4	INPP5D	0.956546671751593	0	gene	gene
PTPN7	INPP5D	0.959986991281803	0	gene	gene
PTPRC	INPP5D	0.96981891978338	0	gene	gene
PTPRC	JAK3	0.954177020234355	0	gene	gene
PDE1B	KCNJ8	0.953553456152221	0	gene	gene
PRKG1	KCNJ8	0.961611677786726	0	gene	gene
PDE2A	KL	0.957019372390386	1.77635683940025e-15	gene	gene
PRKCB	LCK	0.966296114589606	0	gene	gene
UBASH3A	LCK	0.953099041832431	6.69686528453894e-13	gene	gene
ZAP70	LCK	0.957387784512002	0	gene	gene
PLIN1	LIPE	0.962802096678398	0	gene	gene
PTGER4	LRRK2	0.969486629999943	0	gene	gene
PTPN7	MAP4K1	0.975182573135145	0	gene	gene
ZAP70	MAP4K1	0.961288814170065	0	gene	gene
PDE1A	MECOM	0.96709943322492	0	gene	gene
PRKG1	MECOM	0.962026754818829	0	gene	gene
PTPRB	MECOM	0.97669689137137	0	gene	gene
S1PR1	MECOM	0.96477446649357	0	gene	gene
TEK	MECOM	0.965695508782842	0	gene	gene
TTK	MELK	0.967762216503329	0	gene	gene
OAS2	OAS1	0.980905284290331	0	gene	gene
OAS3	OAS1	0.965835127681722	0	gene	gene
PARP12	OAS1	0.954399447863704	0	gene	gene
OAS3	OAS2	0.970092421593811	0	gene	gene
PARP14	PARP12	0.959164269136059	0	gene	gene
PARP9	PARP14	0.961631005696854	0	gene	gene
PTPRC	PARP8	0.961860662845101	0	gene	gene
PTPRB	PDE1A	0.965745472063621	0	gene	gene
S1PR1	PDE1A	0.96771381867715	0	gene	gene
TEK	PDE1A	0.967557211356695	0	gene	gene
PTGER4	PIK3CG	0.953379239940595	1.33226762955019e-15	gene	gene
PTPRC	PIK3CG	0.961194704186905	0	gene	gene
PTPN7	PIK3R5	0.950678142044244	4.44089209850063e-16	gene	gene
PTPRC	PIK3R5	0.978896438448285	0	gene	gene
SLC7A7	PIK3R5	0.9557844068022	0	gene	gene
ST8SIA4	PIK3R5	0.970670608659939	0	gene	gene
PTPRB	PLCL1	0.955018034729344	2.22044604925031e-16	gene	gene
RDH5	PLIN1	0.950017398919944	1.11022302462516e-15	gene	gene
PLK4	PLK1	0.96682593634342	0	gene	gene
PROS1	PLPP1	0.951390414795419	2.44249065417534e-15	gene	gene
PTPRC	PRKCB	0.951177387823639	8.88178419700125e-16	gene	gene
PTPRB	PRKG1	0.962245612711993	0	gene	gene
TEK	PRKG1	0.951202875536121	2.22044604925031e-16	gene	gene
PTPRC	PTPN7	0.964950256950612	0	gene	gene
TNFAIP8	PTPN7	0.955009672543209	0	gene	gene
ZAP70	PTPN7	0.95062745316964	4.44089209850063e-16	gene	gene
S1PR1	PTPRB	0.982706391859991	0	gene	gene
TEK	PTPRB	0.972926065584979	0	gene	gene
ST8SIA4	PTPRC	0.961607564215062	0	gene	gene
SLC7A7	PTPRO	0.959920216361113	2.22044604925031e-16	gene	gene
ST8SIA4	PTPRO	0.955469097562068	8.88178419700125e-16	gene	gene
TPO	RAPGEF3	0.950628167154492	8.88178419700125e-16	gene	gene
TEK	S1PR1	0.977577857286556	0	gene	gene
SETDB2	SEPSECS	0.958740944306219	0	gene	gene
