X1	X2
C00004	C00008
C00004	C00010
C00008	C00010
C00008	C00013
C00010	C00013
C00008	C00015
C00004	C00016
C00010	C00016
C00013	C00016
C00004	C00025
C00008	C00025
C00010	C00025
C00013	C00025
C00008	C00365
C00013	C02985
C00004	C00022
C00008	C00022
C00010	C00022
C00013	C00022
C00015	C00022
C00016	C00022
C00025	C00022
C00013	C00106
C00016	C00106
C00008	C00255
C00016	C00255
C00004	C00148
C00008	C00148
C00013	C00148
C00025	C00148
C00008	C00267
C00015	C00267
C00008	C00073
C00010	C00073
C00013	C00073
C00025	C00073
C00022	C00073
C00148	C00073
C00013	C00242
C00022	C02291
C00008	C02045
C00016	C18170
C00008	ABCA8
C00008	ACACB
C00013	ACACB
C00013	ADCY5
C00008	AK7
C00008	ATP2B1
C00008	ATP5F1C
C00008	AURKA
C00008	AURKB
C00008	BMX
C00008	BUB1
C00008	BUB1B
C00008	CDC7
C00008	CDK1
C00008	CDK16
C00008	CDK8
C00008	CHEK1
C00008	CIT
C00008	CPS1
C00008	CTPS1
C00025	CTPS1
C00008	DCLK1
C00008	DTYMK
C00365	DTYMK
C00008	FPGT-TNNI3K
C00008	GRK3
C00008	HASPIN
C00008	MAP3K12
C00008	MASTL
C00008	MELK
C00008	NEK2
C00008	NEK5
C00008	NME1
C00015	NME1
C00008	PBK
C00008	PDK4
C00016	PDK4
C00008	PKMYT1
C00008	PLK1
C00008	PLK4
C00008	PRKG1
C00008	RRM2
C00015	RRM2
C00008	SLC17A7
C00025	SLC17A7
C00008	SLC27A1
C00010	SLC27A1
C00013	SLC27A1
C00008	SRPK1
C00008	STK32B
C00008	TEK
C00008	TGFBR2
C00008	TK1
C00365	TK1
C00008	TK2
C00365	TK2
C00008	TTK
C00004	ALDH1A1
C00004	CYP4F12
C00004	GAPDH
C00004	GLDC
C00004	GLUD1
C00025	GLUD1
C00004	GPD1
C00004	GPD1L
C00004	H6PD
C00004	HSD17B10
C00010	HSD17B10
C00016	HSD17B10
C00004	PDHA1
C00010	PDHA1
C00016	PDHA1
C00022	PDHA1
C00004	RDH5
C00022	ME3
C00016	NOS3
C00008	TXN
C00016	TXN
C00073	TXN
C00008	PNPT1
C00015	PNPT1
C00010	CPT1A
C00010	YOD1
C00010	ZDHHC24
C00013	HPRT1
C00242	HPRT1
C00013	NPR1
C00013	PDSS1
C00013	POLE
C00013	POLK
C00013	POLN
C00013	POLQ
C00015	FMOD
C00015	GALNT15
C00015	OGN
C00015	PDIA4
C00015	PLOD3
C00016	ACADSB
C00016	AOX1
C00016	CAV1
C00016	MAOA
C00016	NOSTRIN
C00073	EEF1AKMT4
C00073	ETFBKMT
C00073	TRMO
C00025	GPT2
C00022	GPT2
C00025	ABAT
C00025	GGH
C00025	NAALAD2
C00025	PSAT1
C00148	SLC7A5
C00073	SLC7A5
C02291	CBS
