X1	X2
C00010	C00004
C00020	C00004
C00022	C00004
C00025	C00004
C00029	C00004
C00051	C00004
C00062	C00004
C00093	C00004
C00097	C00004
C00148	C00004
C00149	C00004
C00167	C00004
C00186	C00004
C00385	C00004
C00429	C00004
C00800	C00004
C05581	C00004
C00010	C00013
C00010	C00019
C00010	C00020
C00010	C00025
C00010	C00035
C00010	C00047
C00010	C00051
C00010	C00073
C00010	C00093
C00010	C00097
C00010	C00111
C00010	C00245
C00010	C00352
C00010	C00407
C00013	C00042
C00013	C00073
C00097	C00013
C00013	C00106
C00013	C00153
C00013	C00242
C00013	C00245
C00013	C00295
C00385	C00013
C00429	C00013
C00013	C00588
C00013	C02985
C00013	C05378
C00029	C00015
C00043	C00015
C00055	C00015
C00105	C00015
C00167	C00015
C00190	C00015
C05382	C00015
C00013	C00019
C00020	C00019
C00051	C00019
C00019	C00073
C00167	C00019
C00019	C00170
C00019	C00300
C00019	C00588
C00019	C00788
C00019	C01210
C00019	C05660
C00019	C13482
C00020	C00013
C00020	C00015
C00020	C00042
C00020	C00051
C00020	C00097
C00020	C00245
C00010	C00022
C00022	C00013
C00022	C00015
C00022	C00019
C00020	C00022
C00022	C00035
C00022	C00073
C00022	C00097
C00022	C00149
C00022	C00186
C00025	C00013
C00020	C00025
C00022	C00025
C00025	C00035
C00025	C00042
C00025	C00051
C00025	C00073
C00025	C00079
C00025	C00097
C00025	C00148
C00025	C00295
C00025	C00407
C00025	C00624
C00025	C04376
C00029	C00105
C00029	C00167
C00013	C00035
C00020	C00035
C00035	C00042
C00035	C00055
C00035	C00096
C00035	C00105
C00042	C00004
C00097	C00042
C00042	C00122
C00148	C00042
C00042	C03793
C00043	C00004
C00043	C00105
C00047	C00004
C00013	C00047
C00020	C00047
C00025	C00047
C00047	C00042
C00062	C00047
C00047	C00073
C00047	C00078
C00047	C00079
C00097	C00047
C00148	C00047
C00047	C00407
C00051	C00097
C00051	C01419
C00093	C00055
C00097	C00055
C00055	C00307
C00055	C00570
C00010	C00062
C00062	C00013
C00020	C00062
C00062	C00042
C00062	C00073
C00062	C00078
C00062	C00079
C00062	C00097
C00062	C00148
C00062	C00407
C00062	C03406
C00020	C00073
C00073	C00078
C00073	C00079
C00097	C00073
C00148	C00073
C00073	C00407
C00078	C00004
